symbol,interval,timestamp_utc,open,high,low,close,volume
AUSDT,15,2025-07-02 18:00:00,0.4972,0.5006,0.4972,0.4986,130382.0
AUSDT,15,2025-07-02 18:15:00,0.4986,0.4996,0.4982,0.4987,16421.0
AUSDT,15,2025-07-02 18:30:00,0.4987,0.499,0.4978,0.4985,13331.0
AUSDT,15,2025-07-02 18:45:00,0.4985,0.4996,0.4985,0.4996,9667.0
AUSDT,15,2025-07-02 19:00:00,0.4996,0.5,0.4983,0.499,11065.0
AUSDT,15,2025-07-02 19:15:00,0.499,0.5,0.4988,0.4998,21721.0
AUSDT,15,2025-07-02 19:30:00,0.4998,0.4998,0.4987,0.4987,29549.0
AUSDT,15,2025-07-02 19:45:00,0.4987,0.5005,0.4979,0.5005,75761.0
AUSDT,15,2025-07-02 20:00:00,0.5005,0.5014,0.5001,0.5014,39852.0
AUSDT,15,2025-07-02 20:15:00,0.5014,0.5026,0.4993,0.5026,156766.0
AUSDT,15,2025-07-02 20:30:00,0.5026,0.5026,0.501,0.501,10000.0
AUSDT,15,2025-07-02 20:45:00,0.501,0.501,0.4997,0.4997,39159.0
AUSDT,15,2025-07-02 21:00:00,0.4997,0.501,0.4997,0.5007,27461.0
AUSDT,15,2025-07-02 21:15:00,0.5007,0.5021,0.5004,0.5004,7084.0
AUSDT,15,2025-07-02 21:30:00,0.5004,0.5021,0.5004,0.5008,13405.0
AUSDT,15,2025-07-02 21:45:00,0.5008,0.5016,0.4994,0.5001,57285.0
AUSDT,15,2025-07-02 22:00:00,0.5001,0.5016,0.5001,0.5011,45332.0
AUSDT,15,2025-07-02 22:15:00,0.5011,0.5011,0.5001,0.5001,19099.0
AUSDT,15,2025-07-02 22:30:00,0.5001,0.5027,0.5001,0.5006,47753.0
AUSDT,15,2025-07-02 22:45:00,0.5006,0.5007,0.4994,0.4994,33068.0
AUSDT,15,2025-07-02 23:00:00,0.4994,0.4996,0.4986,0.4987,50538.0
AUSDT,15,2025-07-02 23:15:00,0.4987,0.4989,0.497,0.4981,81451.0
AUSDT,15,2025-07-02 23:30:00,0.4981,0.4982,0.4942,0.4954,186379.0
AUSDT,15,2025-07-02 23:45:00,0.4954,0.4959,0.495,0.4955,34407.0
AUSDT,15,2025-07-03 00:00:00,0.4955,0.497,0.4954,0.4965,63102.0
AUSDT,15,2025-07-03 00:15:00,0.4965,0.4967,0.4934,0.4952,43056.0
AUSDT,15,2025-07-03 00:30:00,0.4952,0.4972,0.4949,0.4972,13996.0
AUSDT,15,2025-07-03 00:45:00,0.4972,0.4973,0.4963,0.4966,5105.0
AUSDT,15,2025-07-03 01:00:00,0.4966,0.4969,0.4953,0.4967,13770.0
AUSDT,15,2025-07-03 01:15:00,0.4967,0.4985,0.4967,0.4984,21630.0
AUSDT,15,2025-07-03 01:30:00,0.4984,0.4989,0.4979,0.4979,29421.0
AUSDT,15,2025-07-03 01:45:00,0.4979,0.4988,0.4977,0.4987,12059.0
AUSDT,15,2025-07-03 02:00:00,0.4987,0.499,0.4973,0.4973,12186.0
AUSDT,15,2025-07-03 02:15:00,0.4973,0.4976,0.4961,0.4964,26684.0
AUSDT,15,2025-07-03 02:30:00,0.4964,0.497,0.4961,0.4962,31259.0
AUSDT,15,2025-07-03 02:45:00,0.4962,0.4973,0.4959,0.4973,11586.0
AUSDT,15,2025-07-03 03:00:00,0.4973,0.4983,0.4967,0.4969,27763.0
AUSDT,15,2025-07-03 03:15:00,0.4969,0.4997,0.4969,0.4992,39564.0
AUSDT,15,2025-07-03 03:30:00,0.4992,0.4992,0.4981,0.4988,35059.0
AUSDT,15,2025-07-03 03:45:00,0.4988,0.4988,0.4973,0.4973,80281.0
AUSDT,15,2025-07-03 04:00:00,0.4973,0.4983,0.4969,0.4983,20780.0
AUSDT,15,2025-07-03 04:15:00,0.4983,0.4989,0.4982,0.4988,5167.0
AUSDT,15,2025-07-03 04:30:00,0.4988,0.4993,0.4983,0.4992,10358.0
AUSDT,15,2025-07-03 04:45:00,0.4992,0.5009,0.4992,0.5009,15349.0
AUSDT,15,2025-07-03 05:00:00,0.5009,0.5031,0.5009,0.5018,113720.0
AUSDT,15,2025-07-03 05:15:00,0.5018,0.5042,0.5018,0.5036,45215.0
AUSDT,15,2025-07-03 05:30:00,0.5036,0.5066,0.5031,0.5039,164043.0
AUSDT,15,2025-07-03 05:45:00,0.5039,0.5047,0.5034,0.5041,29048.0
AUSDT,15,2025-07-03 06:00:00,0.5041,0.5047,0.5039,0.5047,27338.0
