symbol,interval,timestamp_utc,open,high,low,close,volume
COMPUSDT,5,2025-06-08 10:05:00,44.61,44.62,44.51,44.54,413.47
COMPUSDT,5,2025-06-08 10:10:00,44.54,44.69,44.53,44.67,143.33
COMPUSDT,5,2025-06-08 10:15:00,44.67,44.8,44.67,44.8,156.24
COMPUSDT,5,2025-06-08 10:20:00,44.8,45.0,44.8,44.98,363.74
COMPUSDT,5,2025-06-08 10:25:00,44.98,45.01,44.93,45.0,293.57
COMPUSDT,5,2025-06-08 10:30:00,45.0,45.08,44.89,45.08,871.9
COMPUSDT,5,2025-06-08 10:35:00,45.08,45.12,44.85,44.86,892.65
COMPUSDT,5,2025-06-08 10:40:00,44.86,44.96,44.84,44.95,267.97
COMPUSDT,5,2025-06-08 10:45:00,44.95,44.99,44.89,44.95,428.34
COMPUSDT,5,2025-06-08 10:50:00,44.95,44.99,44.92,44.99,150.31
COMPUSDT,5,2025-06-08 10:55:00,44.99,45.14,44.93,45.14,154.52
COMPUSDT,5,2025-06-08 11:00:00,45.14,45.44,45.12,45.25,2676.81
COMPUSDT,5,2025-06-08 11:05:00,45.25,45.39,45.25,45.33,1366.0
COMPUSDT,5,2025-06-08 11:10:00,45.33,45.35,45.29,45.33,176.24
COMPUSDT,5,2025-06-08 11:15:00,45.33,45.39,45.27,45.37,1000.26
COMPUSDT,5,2025-06-08 11:20:00,45.37,45.5,45.3,45.31,789.38
COMPUSDT,5,2025-06-08 11:25:00,45.31,45.37,45.18,45.27,2765.05
COMPUSDT,5,2025-06-08 11:30:00,45.27,45.29,45.17,45.19,183.5
COMPUSDT,5,2025-06-08 11:35:00,45.19,45.23,45.15,45.19,200.18
COMPUSDT,5,2025-06-08 11:40:00,45.19,45.2,45.12,45.12,364.0
COMPUSDT,5,2025-06-08 11:45:00,45.12,45.22,45.1,45.15,638.98
COMPUSDT,5,2025-06-08 11:50:00,45.15,45.2,45.11,45.14,159.48
COMPUSDT,5,2025-06-08 11:55:00,45.14,45.17,45.13,45.14,157.54
COMPUSDT,5,2025-06-08 12:00:00,45.14,45.32,45.1,45.32,416.26
COMPUSDT,5,2025-06-08 12:05:00,45.32,45.48,45.32,45.48,513.35
COMPUSDT,5,2025-06-08 12:10:00,45.48,45.5,45.44,45.48,830.64
COMPUSDT,5,2025-06-08 12:15:00,45.48,45.5,45.38,45.5,366.1
COMPUSDT,5,2025-06-08 12:20:00,45.5,45.64,45.49,45.54,718.33
COMPUSDT,5,2025-06-08 12:25:00,45.54,45.73,45.54,45.65,2497.59
COMPUSDT,5,2025-06-08 12:30:00,45.65,45.71,45.58,45.62,426.5
COMPUSDT,5,2025-06-08 12:35:00,45.62,45.65,45.39,45.51,647.32
COMPUSDT,5,2025-06-08 12:40:00,45.51,45.61,45.49,45.51,554.14
COMPUSDT,5,2025-06-08 12:45:00,45.51,45.59,45.51,45.57,243.57
COMPUSDT,5,2025-06-08 12:50:00,45.57,45.7,45.56,45.59,280.21
COMPUSDT,5,2025-06-08 12:55:00,45.59,45.63,45.58,45.63,55.27
COMPUSDT,5,2025-06-08 13:00:00,45.63,45.71,45.58,45.7,339.35
COMPUSDT,5,2025-06-08 13:05:00,45.7,45.94,45.65,45.87,900.95
COMPUSDT,5,2025-06-08 13:10:00,45.87,45.87,45.82,45.85,184.14
COMPUSDT,5,2025-06-08 13:15:00,45.85,46.08,45.85,46.04,900.85
COMPUSDT,5,2025-06-08 13:20:00,46.04,46.19,46.0,46.17,133.48
COMPUSDT,5,2025-06-08 13:25:00,46.17,46.18,46.04,46.14,405.55
COMPUSDT,5,2025-06-08 13:30:00,46.14,46.84,46.14,46.81,3416.03
COMPUSDT,5,2025-06-08 13:35:00,46.81,46.84,46.43,46.47,4103.67
COMPUSDT,5,2025-06-08 13:40:00,46.47,46.8,46.47,46.66,2489.34
COMPUSDT,5,2025-06-08 13:45:00,46.66,46.78,46.45,46.59,2158.81
COMPUSDT,5,2025-06-08 13:50:00,46.59,46.85,46.48,46.51,5865.99
COMPUSDT,5,2025-06-08 13:55:00,46.51,46.61,46.4,46.44,956.67
COMPUSDT,5,2025-06-08 14:00:00,46.44,46.66,46.4,46.57,2295.85
COMPUSDT,5,2025-06-08 14:05:00,46.57,47.17,46.57,47.17,2582.04
COMPUSDT,5,2025-06-08 14:10:00,47.17,47.18,46.89,47.09,2409.65
