symbol,interval,timestamp_utc,open,high,low,close,volume
CPOOLUSDT,5,2025-06-08 10:05:00,0.12198,0.12198,0.12171,0.12171,1945.0
CPOOLUSDT,5,2025-06-08 10:10:00,0.12171,0.1218,0.12149,0.12149,6288.0
CPOOLUSDT,5,2025-06-08 10:15:00,0.12149,0.12174,0.12149,0.12174,193.0
CPOOLUSDT,5,2025-06-08 10:20:00,0.12174,0.12175,0.1212,0.1212,3485.0
CPOOLUSDT,5,2025-06-08 10:25:00,0.1212,0.12133,0.1212,0.12133,2380.0
CPOOLUSDT,5,2025-06-08 10:30:00,0.12133,0.12145,0.12133,0.1214,1055.0
CPOOLUSDT,5,2025-06-08 10:35:00,0.1214,0.12181,0.1214,0.12176,7822.0
CPOOLUSDT,5,2025-06-08 10:40:00,0.12176,0.12247,0.12176,0.1224,11092.0
CPOOLUSDT,5,2025-06-08 10:45:00,0.1224,0.12246,0.12204,0.12225,9763.0
CPOOLUSDT,5,2025-06-08 10:50:00,0.12225,0.12249,0.12225,0.12239,5328.0
CPOOLUSDT,5,2025-06-08 10:55:00,0.12239,0.12249,0.12231,0.12231,5361.0
CPOOLUSDT,5,2025-06-08 11:00:00,0.12231,0.12247,0.12218,0.12218,22288.0
CPOOLUSDT,5,2025-06-08 11:05:00,0.12218,0.12223,0.12197,0.12197,1917.0
CPOOLUSDT,5,2025-06-08 11:10:00,0.12197,0.1221,0.12195,0.12195,1329.0
CPOOLUSDT,5,2025-06-08 11:15:00,0.12195,0.12209,0.12195,0.12209,783.0
CPOOLUSDT,5,2025-06-08 11:20:00,0.12209,0.12238,0.12192,0.12211,17448.0
CPOOLUSDT,5,2025-06-08 11:25:00,0.12211,0.12213,0.12199,0.12211,5124.0
CPOOLUSDT,5,2025-06-08 11:30:00,0.12211,0.12252,0.12211,0.12248,10926.0
CPOOLUSDT,5,2025-06-08 11:35:00,0.12248,0.12293,0.12233,0.12279,37368.0
CPOOLUSDT,5,2025-06-08 11:40:00,0.12279,0.12448,0.12279,0.12406,178172.0
CPOOLUSDT,5,2025-06-08 11:45:00,0.12406,0.12506,0.12384,0.12384,91728.0
CPOOLUSDT,5,2025-06-08 11:50:00,0.12384,0.1239,0.12325,0.12356,74560.0
CPOOLUSDT,5,2025-06-08 11:55:00,0.12356,0.12361,0.12323,0.12323,2514.0
CPOOLUSDT,5,2025-06-08 12:00:00,0.12323,0.12327,0.12242,0.12292,42353.0
CPOOLUSDT,5,2025-06-08 12:05:00,0.12292,0.12314,0.1228,0.1228,6713.0
CPOOLUSDT,5,2025-06-08 12:10:00,0.1228,0.12367,0.1228,0.12367,19499.0
CPOOLUSDT,5,2025-06-08 12:15:00,0.12367,0.12367,0.12273,0.12282,8211.0
CPOOLUSDT,5,2025-06-08 12:20:00,0.12282,0.12289,0.12273,0.12289,7761.0
CPOOLUSDT,5,2025-06-08 12:25:00,0.12289,0.12355,0.12275,0.12311,43834.0
CPOOLUSDT,5,2025-06-08 12:30:00,0.12311,0.12311,0.12257,0.12257,2929.0
CPOOLUSDT,5,2025-06-08 12:35:00,0.12257,0.12257,0.12225,0.1224,7803.0
CPOOLUSDT,5,2025-06-08 12:40:00,0.1224,0.1224,0.1221,0.1221,18509.0
CPOOLUSDT,5,2025-06-08 12:45:00,0.1221,0.12236,0.12161,0.12225,37071.0
CPOOLUSDT,5,2025-06-08 12:50:00,0.12225,0.12225,0.12165,0.12195,29238.0
CPOOLUSDT,5,2025-06-08 12:55:00,0.12195,0.12208,0.12172,0.12208,16308.0
CPOOLUSDT,5,2025-06-08 13:00:00,0.12208,0.12208,0.12101,0.12121,69128.0
CPOOLUSDT,5,2025-06-08 13:05:00,0.12121,0.12139,0.12109,0.12125,8181.0
CPOOLUSDT,5,2025-06-08 13:10:00,0.12125,0.12169,0.12115,0.12164,14744.0
CPOOLUSDT,5,2025-06-08 13:15:00,0.12164,0.12164,0.12146,0.1216,4813.0
CPOOLUSDT,5,2025-06-08 13:20:00,0.1216,0.1219,0.1214,0.12175,8765.0
CPOOLUSDT,5,2025-06-08 13:25:00,0.12175,0.12227,0.12175,0.12202,25698.0
CPOOLUSDT,5,2025-06-08 13:30:00,0.12202,0.12273,0.12202,0.12268,5415.0
CPOOLUSDT,5,2025-06-08 13:35:00,0.12268,0.12278,0.12268,0.12278,685.0
CPOOLUSDT,5,2025-06-08 13:40:00,0.12278,0.12286,0.12263,0.12276,4749.0
CPOOLUSDT,5,2025-06-08 13:45:00,0.12276,0.12296,0.12259,0.12275,11482.0
CPOOLUSDT,5,2025-06-08 13:50:00,0.12275,0.12289,0.12241,0.12255,4132.0
CPOOLUSDT,5,2025-06-08 13:55:00,0.12255,0.12261,0.12249,0.1225,5996.0
CPOOLUSDT,5,2025-06-08 14:00:00,0.1225,0.12336,0.12247,0.12264,130502.0
CPOOLUSDT,5,2025-06-08 14:05:00,0.12264,0.12311,0.12255,0.12311,16299.0
CPOOLUSDT,5,2025-06-08 14:10:00,0.12311,0.12345,0.12307,0.12345,3400.0
