symbol,interval,timestamp_utc,open,high,low,close,volume
DOGSUSDT,1,2025-07-03 05:22:00,0.0001375,0.0001376,0.0001375,0.0001375,18855900.0
DOGSUSDT,1,2025-07-03 05:23:00,0.0001375,0.0001379,0.0001375,0.0001378,41354400.0
DOGSUSDT,1,2025-07-03 05:24:00,0.0001378,0.0001378,0.0001376,0.0001376,3413200.0
DOGSUSDT,1,2025-07-03 05:25:00,0.0001376,0.0001376,0.0001374,0.0001374,3618600.0
DOGSUSDT,1,2025-07-03 05:26:00,0.0001374,0.0001375,0.0001374,0.0001374,17852800.0
DOGSUSDT,1,2025-07-03 05:27:00,0.0001374,0.0001374,0.0001373,0.0001374,4297800.0
DOGSUSDT,1,2025-07-03 05:28:00,0.0001374,0.0001375,0.0001374,0.0001374,11831900.0
DOGSUSDT,1,2025-07-03 05:29:00,0.0001374,0.0001374,0.0001371,0.0001371,24020900.0
DOGSUSDT,1,2025-07-03 05:30:00,0.0001371,0.0001375,0.0001371,0.0001375,10295800.0
DOGSUSDT,1,2025-07-03 05:31:00,0.0001375,0.0001375,0.0001373,0.0001374,12479300.0
DOGSUSDT,1,2025-07-03 05:32:00,0.0001374,0.0001375,0.0001373,0.0001375,8659500.0
DOGSUSDT,1,2025-07-03 05:33:00,0.0001375,0.0001379,0.0001374,0.0001377,56118300.0
DOGSUSDT,1,2025-07-03 05:34:00,0.0001377,0.0001381,0.0001377,0.0001379,24622100.0
DOGSUSDT,1,2025-07-03 05:35:00,0.0001379,0.000138,0.0001378,0.0001378,7794800.0
DOGSUSDT,1,2025-07-03 05:36:00,0.0001378,0.0001379,0.0001377,0.0001378,2822500.0
DOGSUSDT,1,2025-07-03 05:37:00,0.0001378,0.000138,0.0001378,0.000138,9183500.0
DOGSUSDT,1,2025-07-03 05:38:00,0.000138,0.0001383,0.0001379,0.0001381,23377300.0
DOGSUSDT,1,2025-07-03 05:39:00,0.0001381,0.0001388,0.0001381,0.0001386,72839000.0
DOGSUSDT,1,2025-07-03 05:40:00,0.0001386,0.0001386,0.0001384,0.0001386,5197500.0
DOGSUSDT,1,2025-07-03 05:41:00,0.0001386,0.0001389,0.0001386,0.0001387,24400400.0
DOGSUSDT,1,2025-07-03 05:42:00,0.0001387,0.0001388,0.0001385,0.0001385,19612200.0
DOGSUSDT,1,2025-07-03 05:43:00,0.0001385,0.0001385,0.0001382,0.0001383,12959200.0
DOGSUSDT,1,2025-07-03 05:44:00,0.0001383,0.0001384,0.0001383,0.0001384,21228900.0
DOGSUSDT,1,2025-07-03 05:45:00,0.0001384,0.0001385,0.0001383,0.0001384,9355300.0
DOGSUSDT,1,2025-07-03 05:46:00,0.0001384,0.0001384,0.0001379,0.0001381,16987000.0
DOGSUSDT,1,2025-07-03 05:47:00,0.0001381,0.0001385,0.0001381,0.0001383,12937600.0
DOGSUSDT,1,2025-07-03 05:48:00,0.0001383,0.0001384,0.0001382,0.0001384,2871800.0
DOGSUSDT,1,2025-07-03 05:49:00,0.0001384,0.0001386,0.0001384,0.0001386,15538200.0
DOGSUSDT,1,2025-07-03 05:50:00,0.0001386,0.0001386,0.0001381,0.0001383,23602700.0
DOGSUSDT,1,2025-07-03 05:51:00,0.0001383,0.0001384,0.0001383,0.0001384,1086000.0
DOGSUSDT,1,2025-07-03 05:52:00,0.0001384,0.0001385,0.0001383,0.0001384,13064300.0
DOGSUSDT,1,2025-07-03 05:53:00,0.0001384,0.0001384,0.0001384,0.0001384,6038300.0
DOGSUSDT,1,2025-07-03 05:54:00,0.0001384,0.0001385,0.0001384,0.0001385,3998400.0
DOGSUSDT,1,2025-07-03 05:55:00,0.0001385,0.0001387,0.0001385,0.0001387,13023900.0
DOGSUSDT,1,2025-07-03 05:56:00,0.0001387,0.0001387,0.0001385,0.0001386,10131600.0
DOGSUSDT,1,2025-07-03 05:57:00,0.0001386,0.0001386,0.0001386,0.0001386,1468800.0
DOGSUSDT,1,2025-07-03 05:58:00,0.0001386,0.0001388,0.0001386,0.0001387,20105900.0
DOGSUSDT,1,2025-07-03 05:59:00,0.0001387,0.0001387,0.0001387,0.0001387,3162700.0
DOGSUSDT,1,2025-07-03 06:00:00,0.0001387,0.000139,0.0001387,0.0001387,97848700.0
DOGSUSDT,1,2025-07-03 06:01:00,0.0001387,0.0001394,0.0001386,0.0001392,137722200.0
DOGSUSDT,1,2025-07-03 06:02:00,0.0001392,0.0001397,0.0001391,0.0001394,71077400.0
DOGSUSDT,1,2025-07-03 06:03:00,0.0001394,0.0001395,0.0001388,0.0001388,118834300.0
DOGSUSDT,1,2025-07-03 06:04:00,0.0001388,0.0001391,0.0001387,0.000139,39208600.0
DOGSUSDT,1,2025-07-03 06:05:00,0.000139,0.000139,0.0001384,0.0001385,46438000.0
DOGSUSDT,1,2025-07-03 06:06:00,0.0001385,0.0001385,0.0001383,0.0001385,22635200.0
DOGSUSDT,1,2025-07-03 06:07:00,0.0001385,0.0001387,0.0001384,0.0001387,34869400.0
DOGSUSDT,1,2025-07-03 06:08:00,0.0001387,0.0001387,0.0001383,0.0001387,26553300.0
DOGSUSDT,1,2025-07-03 06:09:00,0.0001387,0.0001388,0.0001387,0.0001388,8211000.0
DOGSUSDT,1,2025-07-03 06:10:00,0.0001388,0.0001389,0.0001384,0.0001385,34166000.0
DOGSUSDT,1,2025-07-03 06:11:00,0.0001385,0.0001385,0.0001384,0.0001385,1529500.0
