symbol,interval,timestamp_utc,open,high,low,close,volume
IMXUSDT,15,2025-07-02 18:00:00,0.4551,0.4607,0.4551,0.4591,101015.9
IMXUSDT,15,2025-07-02 18:15:00,0.4591,0.4612,0.4586,0.46,42066.2
IMXUSDT,15,2025-07-02 18:30:00,0.46,0.4613,0.4594,0.461,65465.3
IMXUSDT,15,2025-07-02 18:45:00,0.461,0.4615,0.4597,0.4611,45603.0
IMXUSDT,15,2025-07-02 19:00:00,0.4611,0.4619,0.4588,0.4605,48582.4
IMXUSDT,15,2025-07-02 19:15:00,0.4605,0.4614,0.4602,0.4612,70846.2
IMXUSDT,15,2025-07-02 19:30:00,0.4612,0.4612,0.4598,0.4601,19855.9
IMXUSDT,15,2025-07-02 19:45:00,0.4601,0.4639,0.4593,0.4636,68282.7
IMXUSDT,15,2025-07-02 20:00:00,0.4636,0.4661,0.4629,0.4658,173101.1
IMXUSDT,15,2025-07-02 20:15:00,0.4658,0.4658,0.461,0.4645,294646.6
IMXUSDT,15,2025-07-02 20:30:00,0.4645,0.4654,0.4628,0.4633,43291.7
IMXUSDT,15,2025-07-02 20:45:00,0.4633,0.4634,0.4623,0.4629,20268.8
IMXUSDT,15,2025-07-02 21:00:00,0.4629,0.4643,0.4598,0.4611,287761.3
IMXUSDT,15,2025-07-02 21:15:00,0.4611,0.4623,0.4602,0.4604,39395.9
IMXUSDT,15,2025-07-02 21:30:00,0.4604,0.4627,0.4591,0.4593,237483.7
IMXUSDT,15,2025-07-02 21:45:00,0.4593,0.4626,0.4591,0.462,38134.9
IMXUSDT,15,2025-07-02 22:00:00,0.462,0.4644,0.462,0.4632,50611.7
IMXUSDT,15,2025-07-02 22:15:00,0.4632,0.4637,0.4623,0.4637,16773.4
IMXUSDT,15,2025-07-02 22:30:00,0.4637,0.4663,0.4632,0.4646,103254.8
IMXUSDT,15,2025-07-02 22:45:00,0.4646,0.4646,0.4617,0.463,230059.4
IMXUSDT,15,2025-07-02 23:00:00,0.463,0.4635,0.4525,0.4549,4179715.4
IMXUSDT,15,2025-07-02 23:15:00,0.4549,0.4556,0.4541,0.4543,128755.1
IMXUSDT,15,2025-07-02 23:30:00,0.4543,0.4554,0.4533,0.4543,79590.1
IMXUSDT,15,2025-07-02 23:45:00,0.4543,0.4567,0.4543,0.4559,149356.5
IMXUSDT,15,2025-07-03 00:00:00,0.4559,0.4591,0.4559,0.457,278920.5
IMXUSDT,15,2025-07-03 00:15:00,0.457,0.4572,0.4543,0.4556,56927.0
IMXUSDT,15,2025-07-03 00:30:00,0.4556,0.4586,0.4545,0.4583,117338.8
IMXUSDT,15,2025-07-03 00:45:00,0.4583,0.4583,0.4562,0.4571,37984.1
IMXUSDT,15,2025-07-03 01:00:00,0.4571,0.46,0.4566,0.4594,84926.9
IMXUSDT,15,2025-07-03 01:15:00,0.4594,0.4615,0.459,0.461,130936.3
IMXUSDT,15,2025-07-03 01:30:00,0.461,0.4629,0.4608,0.4619,53063.4
IMXUSDT,15,2025-07-03 01:45:00,0.4619,0.4631,0.4613,0.463,34577.1
IMXUSDT,15,2025-07-03 02:00:00,0.463,0.4636,0.4611,0.4618,33949.0
IMXUSDT,15,2025-07-03 02:15:00,0.4618,0.4618,0.46,0.4601,81974.1
IMXUSDT,15,2025-07-03 02:30:00,0.4601,0.4602,0.458,0.4581,32902.2
IMXUSDT,15,2025-07-03 02:45:00,0.4581,0.46,0.4581,0.46,19642.2
IMXUSDT,15,2025-07-03 03:00:00,0.46,0.4607,0.4591,0.4594,46192.3
IMXUSDT,15,2025-07-03 03:15:00,0.4594,0.4619,0.4587,0.4606,32968.0
IMXUSDT,15,2025-07-03 03:30:00,0.4606,0.4607,0.4591,0.4604,25671.2
IMXUSDT,15,2025-07-03 03:45:00,0.4604,0.4604,0.459,0.4593,24348.1
IMXUSDT,15,2025-07-03 04:00:00,0.4593,0.4599,0.4561,0.4599,34633.5
IMXUSDT,15,2025-07-03 04:15:00,0.4599,0.4605,0.4588,0.4604,20828.6
IMXUSDT,15,2025-07-03 04:30:00,0.4604,0.4607,0.4595,0.4598,21688.3
IMXUSDT,15,2025-07-03 04:45:00,0.4598,0.4631,0.4596,0.4618,36626.4
IMXUSDT,15,2025-07-03 05:00:00,0.4618,0.4644,0.4613,0.4627,204151.0
IMXUSDT,15,2025-07-03 05:15:00,0.4627,0.4649,0.4627,0.4632,47406.9
IMXUSDT,15,2025-07-03 05:30:00,0.4632,0.4659,0.4631,0.4647,37521.0
IMXUSDT,15,2025-07-03 05:45:00,0.4647,0.4657,0.4645,0.4651,50309.6
IMXUSDT,15,2025-07-03 06:00:00,0.4651,0.4658,0.4639,0.4645,20819.3
