symbol,interval,timestamp_utc,open,high,low,close,volume
INJUSDT,1,2025-07-03 05:22:00,11.733,11.737,11.721,11.73,436.7
INJUSDT,1,2025-07-03 05:23:00,11.73,11.764,11.728,11.757,5103.7
INJUSDT,1,2025-07-03 05:24:00,11.757,11.758,11.746,11.754,1670.2
INJUSDT,1,2025-07-03 05:25:00,11.754,11.757,11.746,11.757,356.3
INJUSDT,1,2025-07-03 05:26:00,11.757,11.776,11.757,11.765,5886.0
INJUSDT,1,2025-07-03 05:27:00,11.765,11.779,11.755,11.779,6707.0
INJUSDT,1,2025-07-03 05:28:00,11.779,11.785,11.765,11.77,5035.2
INJUSDT,1,2025-07-03 05:29:00,11.77,11.774,11.753,11.759,2437.9
INJUSDT,1,2025-07-03 05:30:00,11.759,11.783,11.757,11.783,2279.1
INJUSDT,1,2025-07-03 05:31:00,11.783,11.792,11.771,11.783,2431.1
INJUSDT,1,2025-07-03 05:32:00,11.783,11.796,11.772,11.793,1240.3
INJUSDT,1,2025-07-03 05:33:00,11.793,11.814,11.778,11.785,8160.4
INJUSDT,1,2025-07-03 05:34:00,11.785,11.808,11.785,11.801,4413.1
INJUSDT,1,2025-07-03 05:35:00,11.801,11.807,11.783,11.797,3356.3
INJUSDT,1,2025-07-03 05:36:00,11.797,11.8,11.787,11.799,2020.9
INJUSDT,1,2025-07-03 05:37:00,11.799,11.816,11.795,11.809,2638.4
INJUSDT,1,2025-07-03 05:38:00,11.809,11.822,11.809,11.813,1709.5
INJUSDT,1,2025-07-03 05:39:00,11.813,11.824,11.81,11.822,2408.2
INJUSDT,1,2025-07-03 05:40:00,11.822,11.824,11.812,11.821,1053.5
INJUSDT,1,2025-07-03 05:41:00,11.821,11.833,11.821,11.827,3141.2
INJUSDT,1,2025-07-03 05:42:00,11.827,11.831,11.809,11.813,2821.4
INJUSDT,1,2025-07-03 05:43:00,11.813,11.815,11.799,11.804,5481.7
INJUSDT,1,2025-07-03 05:44:00,11.804,11.809,11.791,11.809,1266.2
INJUSDT,1,2025-07-03 05:45:00,11.809,11.83,11.808,11.822,6000.0
INJUSDT,1,2025-07-03 05:46:00,11.822,11.822,11.805,11.82,1349.5
INJUSDT,1,2025-07-03 05:47:00,11.82,11.83,11.811,11.813,4872.8
INJUSDT,1,2025-07-03 05:48:00,11.813,11.825,11.796,11.808,3726.1
INJUSDT,1,2025-07-03 05:49:00,11.808,11.834,11.808,11.83,974.5
INJUSDT,1,2025-07-03 05:50:00,11.83,11.83,11.81,11.815,3699.6
INJUSDT,1,2025-07-03 05:51:00,11.815,11.825,11.81,11.824,1307.1
INJUSDT,1,2025-07-03 05:52:00,11.824,11.825,11.816,11.816,657.5
INJUSDT,1,2025-07-03 05:53:00,11.816,11.816,11.8,11.805,1193.9
INJUSDT,1,2025-07-03 05:54:00,11.805,11.805,11.785,11.791,2026.2
INJUSDT,1,2025-07-03 05:55:00,11.791,11.792,11.772,11.772,914.0
INJUSDT,1,2025-07-03 05:56:00,11.772,11.782,11.769,11.779,5515.0
INJUSDT,1,2025-07-03 05:57:00,11.779,11.78,11.771,11.774,726.8
INJUSDT,1,2025-07-03 05:58:00,11.774,11.787,11.773,11.779,1527.3
INJUSDT,1,2025-07-03 05:59:00,11.779,11.8,11.776,11.8,2183.2
INJUSDT,1,2025-07-03 06:00:00,11.8,11.804,11.762,11.762,2267.9
INJUSDT,1,2025-07-03 06:01:00,11.762,11.766,11.749,11.758,6978.8
INJUSDT,1,2025-07-03 06:02:00,11.758,11.767,11.752,11.755,1726.2
INJUSDT,1,2025-07-03 06:03:00,11.755,11.761,11.751,11.758,2222.1
INJUSDT,1,2025-07-03 06:04:00,11.758,11.771,11.747,11.771,785.9
INJUSDT,1,2025-07-03 06:05:00,11.771,11.778,11.758,11.759,5040.4
INJUSDT,1,2025-07-03 06:06:00,11.759,11.776,11.757,11.775,2024.2
INJUSDT,1,2025-07-03 06:07:00,11.775,11.819,11.775,11.813,2962.2
INJUSDT,1,2025-07-03 06:08:00,11.813,11.813,11.777,11.782,1721.3
INJUSDT,1,2025-07-03 06:09:00,11.782,11.824,11.782,11.823,1564.1
INJUSDT,1,2025-07-03 06:10:00,11.823,11.825,11.804,11.809,3839.1
INJUSDT,1,2025-07-03 06:11:00,11.809,11.836,11.806,11.836,2186.6
