symbol,interval,timestamp_utc,open,high,low,close,volume
MAVIAUSDT,15,2025-06-08 01:45:00,0.1613,0.1617,0.1613,0.1617,8818.9
MAVIAUSDT,15,2025-06-08 02:00:00,0.1617,0.1618,0.1613,0.1613,24137.8
MAVIAUSDT,15,2025-06-08 02:15:00,0.1613,0.1621,0.1613,0.1616,50746.7
MAVIAUSDT,15,2025-06-08 02:30:00,0.1616,0.1617,0.1614,0.1617,15164.5
MAVIAUSDT,15,2025-06-08 02:45:00,0.1617,0.1618,0.1608,0.1609,31640.7
MAVIAUSDT,15,2025-06-08 03:00:00,0.1609,0.1609,0.1604,0.1608,64519.4
MAVIAUSDT,15,2025-06-08 03:15:00,0.1608,0.1608,0.16,0.1605,32980.2
MAVIAUSDT,15,2025-06-08 03:30:00,0.1605,0.1605,0.1599,0.1601,28941.6
MAVIAUSDT,15,2025-06-08 03:45:00,0.1601,0.1601,0.1598,0.1599,22838.1
MAVIAUSDT,15,2025-06-08 04:00:00,0.1599,0.16,0.1597,0.16,15881.0
MAVIAUSDT,15,2025-06-08 04:15:00,0.16,0.1604,0.1599,0.16,26063.7
MAVIAUSDT,15,2025-06-08 04:30:00,0.16,0.1607,0.16,0.1601,77350.1
MAVIAUSDT,15,2025-06-08 04:45:00,0.1601,0.161,0.1601,0.1607,120808.2
MAVIAUSDT,15,2025-06-08 05:00:00,0.1607,0.1607,0.1598,0.1599,47299.7
MAVIAUSDT,15,2025-06-08 05:15:00,0.1599,0.1605,0.1598,0.1605,22337.6
MAVIAUSDT,15,2025-06-08 05:30:00,0.1605,0.1606,0.1594,0.1596,44503.9
MAVIAUSDT,15,2025-06-08 05:45:00,0.1596,0.1598,0.1595,0.1596,25744.5
MAVIAUSDT,15,2025-06-08 06:00:00,0.1596,0.1597,0.1594,0.1597,40223.3
MAVIAUSDT,15,2025-06-08 06:15:00,0.1597,0.1601,0.1596,0.1597,41163.6
MAVIAUSDT,15,2025-06-08 06:30:00,0.1597,0.1597,0.1595,0.1596,30168.4
MAVIAUSDT,15,2025-06-08 06:45:00,0.1596,0.1596,0.1592,0.1592,22314.9
MAVIAUSDT,15,2025-06-08 07:00:00,0.1592,0.1596,0.1592,0.1596,22759.4
MAVIAUSDT,15,2025-06-08 07:15:00,0.1596,0.1597,0.1593,0.1593,38358.6
MAVIAUSDT,15,2025-06-08 07:30:00,0.1593,0.1594,0.1591,0.1592,63443.3
MAVIAUSDT,15,2025-06-08 07:45:00,0.1592,0.1593,0.1586,0.1588,143770.2
MAVIAUSDT,15,2025-06-08 08:00:00,0.1588,0.1594,0.1588,0.1594,36265.0
MAVIAUSDT,15,2025-06-08 08:15:00,0.1594,0.1599,0.1593,0.1594,53512.3
MAVIAUSDT,15,2025-06-08 08:30:00,0.1594,0.1601,0.1576,0.1585,622850.4
MAVIAUSDT,15,2025-06-08 08:45:00,0.1585,0.1587,0.1583,0.1583,118795.7
MAVIAUSDT,15,2025-06-08 09:00:00,0.1583,0.1587,0.1572,0.1577,237177.0
MAVIAUSDT,15,2025-06-08 09:15:00,0.1577,0.1579,0.1567,0.1573,356537.8
MAVIAUSDT,15,2025-06-08 09:30:00,0.1573,0.1576,0.1571,0.1576,57134.3
MAVIAUSDT,15,2025-06-08 09:45:00,0.1576,0.1577,0.1573,0.1574,52961.7
MAVIAUSDT,15,2025-06-08 10:00:00,0.1574,0.1576,0.1568,0.1572,115464.2
MAVIAUSDT,15,2025-06-08 10:15:00,0.1572,0.1576,0.1572,0.1576,30053.1
MAVIAUSDT,15,2025-06-08 10:30:00,0.1576,0.158,0.1576,0.1579,30370.4
MAVIAUSDT,15,2025-06-08 10:45:00,0.1579,0.1579,0.1573,0.1573,34522.6
MAVIAUSDT,15,2025-06-08 11:00:00,0.1573,0.1578,0.1573,0.1577,48974.7
MAVIAUSDT,15,2025-06-08 11:15:00,0.1577,0.1584,0.1573,0.1581,163217.8
MAVIAUSDT,15,2025-06-08 11:30:00,0.1581,0.1581,0.1576,0.1579,42561.4
MAVIAUSDT,15,2025-06-08 11:45:00,0.1579,0.1584,0.1579,0.1583,31956.2
MAVIAUSDT,15,2025-06-08 12:00:00,0.1583,0.1585,0.1577,0.1583,84417.1
MAVIAUSDT,15,2025-06-08 12:15:00,0.1583,0.1583,0.1577,0.1578,29534.2
MAVIAUSDT,15,2025-06-08 12:30:00,0.1578,0.1578,0.157,0.1575,56773.8
MAVIAUSDT,15,2025-06-08 12:45:00,0.1575,0.1578,0.1575,0.1578,14263.9
MAVIAUSDT,15,2025-06-08 13:00:00,0.1578,0.1578,0.1575,0.1577,13498.7
MAVIAUSDT,15,2025-06-08 13:15:00,0.1577,0.1577,0.1573,0.1575,14015.5
MAVIAUSDT,15,2025-06-08 13:30:00,0.1575,0.1586,0.1575,0.1586,34985.3
MAVIAUSDT,15,2025-06-08 13:45:00,0.1586,0.1594,0.1574,0.1575,135626.5
MAVIAUSDT,15,2025-06-08 14:00:00,0.1575,0.1579,0.1575,0.1579,30107.5
