symbol,interval,timestamp_utc,open,high,low,close,volume
MAVUSDT,5,2025-07-03 02:05:00,0.05297,0.05327,0.05244,0.05249,846447.0
MAVUSDT,5,2025-07-03 02:10:00,0.05249,0.05265,0.05225,0.05244,1179370.0
MAVUSDT,5,2025-07-03 02:15:00,0.05244,0.05258,0.05173,0.0518,590178.0
MAVUSDT,5,2025-07-03 02:20:00,0.0518,0.05194,0.05152,0.05159,236386.0
MAVUSDT,5,2025-07-03 02:25:00,0.05159,0.0516,0.05126,0.05126,384986.0
MAVUSDT,5,2025-07-03 02:30:00,0.05126,0.05136,0.05117,0.05125,244843.0
MAVUSDT,5,2025-07-03 02:35:00,0.05125,0.05125,0.05069,0.05095,892066.0
MAVUSDT,5,2025-07-03 02:40:00,0.05095,0.0511,0.05059,0.0506,370633.0
MAVUSDT,5,2025-07-03 02:45:00,0.0506,0.05066,0.05026,0.05058,1213749.0
MAVUSDT,5,2025-07-03 02:50:00,0.05058,0.0509,0.05058,0.05087,500521.0
MAVUSDT,5,2025-07-03 02:55:00,0.05087,0.05107,0.05082,0.05105,383960.0
MAVUSDT,5,2025-07-03 03:00:00,0.05105,0.0515,0.05083,0.05117,602084.0
MAVUSDT,5,2025-07-03 03:05:00,0.05117,0.05131,0.05061,0.0507,539983.0
MAVUSDT,5,2025-07-03 03:10:00,0.0507,0.05072,0.05057,0.05069,404227.0
MAVUSDT,5,2025-07-03 03:15:00,0.05069,0.05072,0.05016,0.05024,898774.0
MAVUSDT,5,2025-07-03 03:20:00,0.05024,0.0504,0.05012,0.05027,262266.0
MAVUSDT,5,2025-07-03 03:25:00,0.05027,0.05029,0.05005,0.05014,326508.0
MAVUSDT,5,2025-07-03 03:30:00,0.05014,0.05015,0.04988,0.05008,466926.0
MAVUSDT,5,2025-07-03 03:35:00,0.05008,0.05012,0.04974,0.04995,380170.0
MAVUSDT,5,2025-07-03 03:40:00,0.04995,0.05025,0.04993,0.05022,469220.0
MAVUSDT,5,2025-07-03 03:45:00,0.05022,0.05036,0.05007,0.05018,289124.0
MAVUSDT,5,2025-07-03 03:50:00,0.05018,0.05027,0.05003,0.05011,178451.0
MAVUSDT,5,2025-07-03 03:55:00,0.05011,0.05012,0.04986,0.05004,230950.0
MAVUSDT,5,2025-07-03 04:00:00,0.05004,0.05041,0.04988,0.05038,440292.0
MAVUSDT,5,2025-07-03 04:05:00,0.05038,0.05053,0.05031,0.05038,413323.0
MAVUSDT,5,2025-07-03 04:10:00,0.05038,0.05038,0.05023,0.05023,112900.0
MAVUSDT,5,2025-07-03 04:15:00,0.05023,0.05036,0.05018,0.05027,129554.0
MAVUSDT,5,2025-07-03 04:20:00,0.05027,0.05039,0.05025,0.05033,146699.0
MAVUSDT,5,2025-07-03 04:25:00,0.05033,0.05034,0.05021,0.05023,181050.0
MAVUSDT,5,2025-07-03 04:30:00,0.05023,0.05032,0.05002,0.05003,58732.0
MAVUSDT,5,2025-07-03 04:35:00,0.05003,0.05003,0.04989,0.04998,197612.0
MAVUSDT,5,2025-07-03 04:40:00,0.04998,0.04998,0.04978,0.04984,252585.0
MAVUSDT,5,2025-07-03 04:45:00,0.04984,0.05005,0.04953,0.04957,1108365.0
MAVUSDT,5,2025-07-03 04:50:00,0.04957,0.04969,0.04943,0.04965,433669.0
MAVUSDT,5,2025-07-03 04:55:00,0.04965,0.04973,0.04949,0.04973,211253.0
MAVUSDT,5,2025-07-03 05:00:00,0.04973,0.04999,0.04971,0.04974,597125.0
MAVUSDT,5,2025-07-03 05:05:00,0.04974,0.04999,0.04966,0.04993,1216580.0
MAVUSDT,5,2025-07-03 05:10:00,0.04993,0.05021,0.04984,0.04998,456153.0
MAVUSDT,5,2025-07-03 05:15:00,0.04998,0.05018,0.04998,0.05009,219472.0
MAVUSDT,5,2025-07-03 05:20:00,0.05009,0.05027,0.05002,0.05024,145393.0
MAVUSDT,5,2025-07-03 05:25:00,0.05024,0.05028,0.05,0.05008,237880.0
MAVUSDT,5,2025-07-03 05:30:00,0.05008,0.05018,0.04984,0.0501,502438.0
MAVUSDT,5,2025-07-03 05:35:00,0.0501,0.05021,0.05004,0.05019,107055.0
MAVUSDT,5,2025-07-03 05:40:00,0.05019,0.05026,0.05001,0.0501,152329.0
MAVUSDT,5,2025-07-03 05:45:00,0.0501,0.0501,0.04983,0.04993,204406.0
MAVUSDT,5,2025-07-03 05:50:00,0.04993,0.05,0.04975,0.04998,135911.0
MAVUSDT,5,2025-07-03 05:55:00,0.04998,0.05018,0.04998,0.05007,160329.0
MAVUSDT,5,2025-07-03 06:00:00,0.05007,0.05031,0.04999,0.05025,506712.0
MAVUSDT,5,2025-07-03 06:05:00,0.05025,0.05029,0.05008,0.05016,266324.0
