symbol,interval,timestamp_utc,open,high,low,close,volume
MILKUSDT,15,2025-06-08 01:45:00,0.06183,0.06184,0.06174,0.06181,14157.0
MILKUSDT,15,2025-06-08 02:00:00,0.06181,0.06184,0.06169,0.06169,40364.0
MILKUSDT,15,2025-06-08 02:15:00,0.06169,0.06173,0.06167,0.06167,1204.0
MILKUSDT,15,2025-06-08 02:30:00,0.06167,0.06171,0.06166,0.06171,1076.0
MILKUSDT,15,2025-06-08 02:45:00,0.06171,0.06172,0.06165,0.06165,7842.0
MILKUSDT,15,2025-06-08 03:00:00,0.06165,0.06165,0.0615,0.06153,5532.0
MILKUSDT,15,2025-06-08 03:15:00,0.06153,0.06177,0.0615,0.06177,20094.0
MILKUSDT,15,2025-06-08 03:30:00,0.06177,0.06183,0.06167,0.06174,38558.0
MILKUSDT,15,2025-06-08 03:45:00,0.06174,0.06184,0.06158,0.0616,33351.0
MILKUSDT,15,2025-06-08 04:00:00,0.0616,0.06161,0.06149,0.06152,8034.0
MILKUSDT,15,2025-06-08 04:15:00,0.06152,0.06152,0.06149,0.06149,2100.0
MILKUSDT,15,2025-06-08 04:30:00,0.06149,0.06162,0.06149,0.06161,23448.0
MILKUSDT,15,2025-06-08 04:45:00,0.06161,0.06167,0.06161,0.06164,2080.0
MILKUSDT,15,2025-06-08 05:00:00,0.06164,0.06164,0.06148,0.06149,655.0
MILKUSDT,15,2025-06-08 05:15:00,0.06149,0.06163,0.06146,0.06156,23883.0
MILKUSDT,15,2025-06-08 05:30:00,0.06156,0.06156,0.06118,0.0612,38959.0
MILKUSDT,15,2025-06-08 05:45:00,0.0612,0.06121,0.06047,0.06067,125189.0
MILKUSDT,15,2025-06-08 06:00:00,0.06067,0.06076,0.06053,0.06076,38588.0
MILKUSDT,15,2025-06-08 06:15:00,0.06076,0.06093,0.06062,0.06086,35225.0
MILKUSDT,15,2025-06-08 06:30:00,0.06086,0.0609,0.06085,0.06088,477.0
MILKUSDT,15,2025-06-08 06:45:00,0.06088,0.06088,0.06073,0.06073,1356.0
MILKUSDT,15,2025-06-08 07:00:00,0.06073,0.06073,0.06067,0.06069,1337.0
MILKUSDT,15,2025-06-08 07:15:00,0.06069,0.06081,0.06048,0.06053,28741.0
MILKUSDT,15,2025-06-08 07:30:00,0.06053,0.06063,0.06034,0.06039,21052.0
MILKUSDT,15,2025-06-08 07:45:00,0.06039,0.0604,0.06015,0.06024,93771.0
MILKUSDT,15,2025-06-08 08:00:00,0.06024,0.06045,0.06024,0.06043,10418.0
MILKUSDT,15,2025-06-08 08:15:00,0.06043,0.06052,0.06026,0.06037,100839.0
MILKUSDT,15,2025-06-08 08:30:00,0.06037,0.06043,0.0603,0.06033,17962.0
MILKUSDT,15,2025-06-08 08:45:00,0.06033,0.06057,0.06033,0.06041,15603.0
MILKUSDT,15,2025-06-08 09:00:00,0.06041,0.06041,0.06014,0.0602,14087.0
MILKUSDT,15,2025-06-08 09:15:00,0.0602,0.06039,0.05994,0.06008,115016.0
MILKUSDT,15,2025-06-08 09:30:00,0.06008,0.06012,0.05991,0.05991,33506.0
MILKUSDT,15,2025-06-08 09:45:00,0.05991,0.06015,0.05991,0.05991,108867.0
MILKUSDT,15,2025-06-08 10:00:00,0.05991,0.05991,0.05976,0.05976,34069.0
MILKUSDT,15,2025-06-08 10:15:00,0.05976,0.05989,0.05973,0.05989,15199.0
MILKUSDT,15,2025-06-08 10:30:00,0.05989,0.06015,0.05985,0.06011,24148.0
MILKUSDT,15,2025-06-08 10:45:00,0.06011,0.06032,0.06011,0.06017,18008.0
MILKUSDT,15,2025-06-08 11:00:00,0.06017,0.06024,0.06015,0.0602,3494.0
MILKUSDT,15,2025-06-08 11:15:00,0.0602,0.06066,0.0602,0.06051,63591.0
MILKUSDT,15,2025-06-08 11:30:00,0.06051,0.06064,0.0605,0.06058,10472.0
MILKUSDT,15,2025-06-08 11:45:00,0.06058,0.06077,0.06045,0.06076,26318.0
MILKUSDT,15,2025-06-08 12:00:00,0.06076,0.06091,0.06065,0.0609,26429.0
MILKUSDT,15,2025-06-08 12:15:00,0.0609,0.06093,0.06066,0.06076,43525.0
MILKUSDT,15,2025-06-08 12:30:00,0.06076,0.06085,0.06064,0.06083,4245.0
MILKUSDT,15,2025-06-08 12:45:00,0.06083,0.06137,0.06083,0.06115,77435.0
MILKUSDT,15,2025-06-08 13:00:00,0.06115,0.06127,0.06088,0.06126,140441.0
MILKUSDT,15,2025-06-08 13:15:00,0.06126,0.06126,0.06082,0.06085,18175.0
MILKUSDT,15,2025-06-08 13:30:00,0.06085,0.06121,0.06085,0.0612,23417.0
MILKUSDT,15,2025-06-08 13:45:00,0.0612,0.06143,0.06091,0.06094,28522.0
MILKUSDT,15,2025-06-08 14:00:00,0.06094,0.061,0.06032,0.0606,203437.0
