symbol,interval,timestamp_utc,open,high,low,close,volume
MOVRUSDT,15,2025-06-08 01:45:00,5.821,5.837,5.814,5.814,123.7
MOVRUSDT,15,2025-06-08 02:00:00,5.814,5.814,5.788,5.788,46.0
MOVRUSDT,15,2025-06-08 02:15:00,5.788,5.793,5.782,5.782,18.4
MOVRUSDT,15,2025-06-08 02:30:00,5.782,5.796,5.781,5.796,92.2
MOVRUSDT,15,2025-06-08 02:45:00,5.796,5.796,5.762,5.775,2666.0
MOVRUSDT,15,2025-06-08 03:00:00,5.775,5.775,5.735,5.751,2792.6
MOVRUSDT,15,2025-06-08 03:15:00,5.751,5.782,5.751,5.766,2184.4
MOVRUSDT,15,2025-06-08 03:30:00,5.766,5.766,5.74,5.754,1426.5
MOVRUSDT,15,2025-06-08 03:45:00,5.754,5.754,5.723,5.73,255.9
MOVRUSDT,15,2025-06-08 04:00:00,5.73,5.73,5.673,5.698,2945.5
MOVRUSDT,15,2025-06-08 04:15:00,5.698,5.712,5.698,5.706,132.0
MOVRUSDT,15,2025-06-08 04:30:00,5.706,5.75,5.706,5.748,278.4
MOVRUSDT,15,2025-06-08 04:45:00,5.748,5.79,5.748,5.79,378.7
MOVRUSDT,15,2025-06-08 05:00:00,5.79,5.798,5.782,5.791,587.7
MOVRUSDT,15,2025-06-08 05:15:00,5.791,5.8,5.775,5.783,213.4
MOVRUSDT,15,2025-06-08 05:30:00,5.783,5.783,5.761,5.761,174.5
MOVRUSDT,15,2025-06-08 05:45:00,5.761,5.761,5.746,5.746,24.6
MOVRUSDT,15,2025-06-08 06:00:00,5.746,5.75,5.742,5.748,91.8
MOVRUSDT,15,2025-06-08 06:15:00,5.748,5.75,5.746,5.749,42.4
MOVRUSDT,15,2025-06-08 06:30:00,5.749,5.768,5.743,5.768,190.8
MOVRUSDT,15,2025-06-08 06:45:00,5.768,5.773,5.755,5.755,115.3
MOVRUSDT,15,2025-06-08 07:00:00,5.755,5.761,5.741,5.748,427.1
MOVRUSDT,15,2025-06-08 07:15:00,5.748,5.764,5.748,5.748,22.6
MOVRUSDT,15,2025-06-08 07:30:00,5.748,5.748,5.709,5.715,2881.2
MOVRUSDT,15,2025-06-08 07:45:00,5.715,5.727,5.712,5.715,438.5
MOVRUSDT,15,2025-06-08 08:00:00,5.715,5.732,5.711,5.729,216.8
MOVRUSDT,15,2025-06-08 08:15:00,5.729,5.735,5.728,5.731,31.5
MOVRUSDT,15,2025-06-08 08:30:00,5.731,5.731,5.725,5.725,67.2
MOVRUSDT,15,2025-06-08 08:45:00,5.725,5.732,5.723,5.723,46.3
MOVRUSDT,15,2025-06-08 09:00:00,5.723,5.733,5.711,5.711,279.7
MOVRUSDT,15,2025-06-08 09:15:00,5.711,5.716,5.674,5.685,971.7
MOVRUSDT,15,2025-06-08 09:30:00,5.685,5.702,5.668,5.683,3243.2
MOVRUSDT,15,2025-06-08 09:45:00,5.683,5.694,5.682,5.694,52.1
MOVRUSDT,15,2025-06-08 10:00:00,5.694,5.696,5.685,5.687,172.9
MOVRUSDT,15,2025-06-08 10:15:00,5.687,5.703,5.687,5.693,110.7
MOVRUSDT,15,2025-06-08 10:30:00,5.693,5.715,5.693,5.713,219.1
MOVRUSDT,15,2025-06-08 10:45:00,5.713,5.715,5.708,5.71,66.7
MOVRUSDT,15,2025-06-08 11:00:00,5.71,5.742,5.71,5.734,267.0
MOVRUSDT,15,2025-06-08 11:15:00,5.734,5.762,5.732,5.756,271.3
MOVRUSDT,15,2025-06-08 11:30:00,5.756,5.761,5.749,5.749,9.2
MOVRUSDT,15,2025-06-08 11:45:00,5.749,5.765,5.749,5.764,477.1
MOVRUSDT,15,2025-06-08 12:00:00,5.764,5.765,5.752,5.763,349.3
MOVRUSDT,15,2025-06-08 12:15:00,5.763,5.765,5.733,5.737,167.1
MOVRUSDT,15,2025-06-08 12:30:00,5.737,5.737,5.709,5.718,239.8
MOVRUSDT,15,2025-06-08 12:45:00,5.718,5.731,5.718,5.728,19.0
MOVRUSDT,15,2025-06-08 13:00:00,5.728,5.745,5.716,5.745,326.8
MOVRUSDT,15,2025-06-08 13:15:00,5.745,5.745,5.731,5.732,17.5
MOVRUSDT,15,2025-06-08 13:30:00,5.732,5.766,5.732,5.761,96.1
MOVRUSDT,15,2025-06-08 13:45:00,5.761,5.793,5.734,5.734,164.6
MOVRUSDT,15,2025-06-08 14:00:00,5.734,5.75,5.718,5.75,382.6
