symbol,interval,timestamp_utc,open,high,low,close,volume
OMUSDT,1,2025-07-03 05:22:00,0.2176,0.2177,0.2176,0.2176,2991.0
OMUSDT,1,2025-07-03 05:23:00,0.2176,0.2179,0.2176,0.2179,59458.0
OMUSDT,1,2025-07-03 05:24:00,0.2179,0.2179,0.2177,0.2177,14678.0
OMUSDT,1,2025-07-03 05:25:00,0.2177,0.2177,0.2175,0.2175,6195.0
OMUSDT,1,2025-07-03 05:26:00,0.2175,0.2178,0.2175,0.2176,9558.0
OMUSDT,1,2025-07-03 05:27:00,0.2176,0.2176,0.2176,0.2176,12775.0
OMUSDT,1,2025-07-03 05:28:00,0.2176,0.218,0.2176,0.218,35709.0
OMUSDT,1,2025-07-03 05:29:00,0.218,0.218,0.2174,0.2174,5080.0
OMUSDT,1,2025-07-03 05:30:00,0.2174,0.2178,0.2174,0.2178,13117.0
OMUSDT,1,2025-07-03 05:31:00,0.2178,0.2182,0.2178,0.2182,54968.0
OMUSDT,1,2025-07-03 05:32:00,0.2182,0.2184,0.2182,0.2184,46338.0
OMUSDT,1,2025-07-03 05:33:00,0.2184,0.2188,0.2184,0.2184,61521.0
OMUSDT,1,2025-07-03 05:34:00,0.2184,0.2189,0.2184,0.2187,42235.0
OMUSDT,1,2025-07-03 05:35:00,0.2187,0.2187,0.2184,0.2184,2292.0
OMUSDT,1,2025-07-03 05:36:00,0.2184,0.2185,0.2184,0.2184,3655.0
OMUSDT,1,2025-07-03 05:37:00,0.2184,0.2184,0.2183,0.2183,6463.0
OMUSDT,1,2025-07-03 05:38:00,0.2183,0.2185,0.2183,0.2184,5024.0
OMUSDT,1,2025-07-03 05:39:00,0.2184,0.2185,0.2184,0.2185,4241.0
OMUSDT,1,2025-07-03 05:40:00,0.2185,0.2186,0.2185,0.2186,1658.0
OMUSDT,1,2025-07-03 05:41:00,0.2186,0.2188,0.2186,0.2188,8757.0
OMUSDT,1,2025-07-03 05:42:00,0.2188,0.2189,0.2188,0.2188,17717.0
OMUSDT,1,2025-07-03 05:43:00,0.2188,0.2188,0.2186,0.2187,18627.0
OMUSDT,1,2025-07-03 05:44:00,0.2187,0.2188,0.2187,0.2188,1876.0
OMUSDT,1,2025-07-03 05:45:00,0.2188,0.2189,0.2188,0.2189,1973.0
OMUSDT,1,2025-07-03 05:46:00,0.2189,0.2189,0.2186,0.2188,11204.0
OMUSDT,1,2025-07-03 05:47:00,0.2188,0.219,0.2184,0.2184,5815.0
OMUSDT,1,2025-07-03 05:48:00,0.2184,0.2187,0.2184,0.2186,1000.0
OMUSDT,1,2025-07-03 05:49:00,0.2186,0.219,0.2186,0.219,6067.0
OMUSDT,1,2025-07-03 05:50:00,0.219,0.2191,0.219,0.219,6465.0
OMUSDT,1,2025-07-03 05:51:00,0.219,0.2191,0.219,0.2191,7061.0
OMUSDT,1,2025-07-03 05:52:00,0.2191,0.2191,0.2191,0.2191,2618.0
OMUSDT,1,2025-07-03 05:53:00,0.2191,0.2193,0.2191,0.2192,11060.0
OMUSDT,1,2025-07-03 05:54:00,0.2192,0.2194,0.2192,0.2194,1909.0
OMUSDT,1,2025-07-03 05:55:00,0.2194,0.2194,0.2191,0.2191,9531.0
OMUSDT,1,2025-07-03 05:56:00,0.2191,0.2192,0.219,0.2192,4479.0
OMUSDT,1,2025-07-03 05:57:00,0.2192,0.2192,0.2191,0.2191,3257.0
OMUSDT,1,2025-07-03 05:58:00,0.2191,0.2192,0.2191,0.2192,841.0
OMUSDT,1,2025-07-03 05:59:00,0.2192,0.2192,0.2191,0.2191,698.0
OMUSDT,1,2025-07-03 06:00:00,0.2191,0.2191,0.2189,0.2189,6252.0
OMUSDT,1,2025-07-03 06:01:00,0.2189,0.2191,0.2189,0.219,7500.0
OMUSDT,1,2025-07-03 06:02:00,0.219,0.2191,0.2189,0.2191,14155.0
OMUSDT,1,2025-07-03 06:03:00,0.2191,0.2191,0.219,0.219,4454.0
OMUSDT,1,2025-07-03 06:04:00,0.219,0.2191,0.219,0.219,28126.0
OMUSDT,1,2025-07-03 06:05:00,0.219,0.2192,0.219,0.2192,18464.0
OMUSDT,1,2025-07-03 06:06:00,0.2192,0.2194,0.2191,0.2193,9485.0
OMUSDT,1,2025-07-03 06:07:00,0.2193,0.2198,0.2193,0.2198,35428.0
OMUSDT,1,2025-07-03 06:08:00,0.2198,0.2198,0.2194,0.2194,11464.0
OMUSDT,1,2025-07-03 06:09:00,0.2194,0.2194,0.2191,0.2193,8891.0
OMUSDT,1,2025-07-03 06:10:00,0.2193,0.2194,0.2193,0.2193,6321.0
OMUSDT,1,2025-07-03 06:11:00,0.2193,0.2194,0.2193,0.2194,4405.0
