symbol,interval,timestamp_utc,open,high,low,close,volume
ONTUSDT,15,2025-06-08 01:45:00,0.138,0.1382,0.138,0.1381,3662.0
ONTUSDT,15,2025-06-08 02:00:00,0.1381,0.1382,0.1375,0.1375,10939.0
ONTUSDT,15,2025-06-08 02:15:00,0.1375,0.1377,0.1374,0.1375,10778.0
ONTUSDT,15,2025-06-08 02:30:00,0.1375,0.1378,0.1375,0.1376,10669.0
ONTUSDT,15,2025-06-08 02:45:00,0.1376,0.1376,0.1373,0.1373,7205.0
ONTUSDT,15,2025-06-08 03:00:00,0.1373,0.1375,0.1371,0.1371,8486.0
ONTUSDT,15,2025-06-08 03:15:00,0.1371,0.1372,0.1371,0.1372,1554.0
ONTUSDT,15,2025-06-08 03:30:00,0.1372,0.1373,0.1371,0.1372,4334.0
ONTUSDT,15,2025-06-08 03:45:00,0.1372,0.1372,0.1369,0.1369,8710.0
ONTUSDT,15,2025-06-08 04:00:00,0.1369,0.1369,0.1368,0.1368,1752.0
ONTUSDT,15,2025-06-08 04:15:00,0.1368,0.1368,0.1368,0.1368,1410.0
ONTUSDT,15,2025-06-08 04:30:00,0.1368,0.1372,0.1368,0.1372,8509.0
ONTUSDT,15,2025-06-08 04:45:00,0.1372,0.1373,0.1372,0.1373,3137.0
ONTUSDT,15,2025-06-08 05:00:00,0.1373,0.1373,0.1368,0.1368,10038.0
ONTUSDT,15,2025-06-08 05:15:00,0.1368,0.1369,0.1368,0.1369,8129.0
ONTUSDT,15,2025-06-08 05:30:00,0.1369,0.137,0.1366,0.1366,5823.0
ONTUSDT,15,2025-06-08 05:45:00,0.1366,0.1367,0.1366,0.1367,10133.0
ONTUSDT,15,2025-06-08 06:00:00,0.1367,0.1367,0.1366,0.1366,3783.0
ONTUSDT,15,2025-06-08 06:15:00,0.1366,0.1368,0.1366,0.1368,11216.0
ONTUSDT,15,2025-06-08 06:30:00,0.1368,0.1369,0.1367,0.1368,1426.0
ONTUSDT,15,2025-06-08 06:45:00,0.1368,0.1368,0.1363,0.1363,11714.0
ONTUSDT,15,2025-06-08 07:00:00,0.1363,0.1365,0.1363,0.1365,13209.0
ONTUSDT,15,2025-06-08 07:15:00,0.1365,0.1365,0.1363,0.1363,18908.0
ONTUSDT,15,2025-06-08 07:30:00,0.1363,0.1363,0.136,0.136,25578.0
ONTUSDT,15,2025-06-08 07:45:00,0.136,0.1361,0.1358,0.1358,21964.0
ONTUSDT,15,2025-06-08 08:00:00,0.1358,0.1363,0.1358,0.1363,25944.0
ONTUSDT,15,2025-06-08 08:15:00,0.1363,0.1365,0.1362,0.1362,28121.0
ONTUSDT,15,2025-06-08 08:30:00,0.1362,0.1362,0.136,0.1361,13497.0
ONTUSDT,15,2025-06-08 08:45:00,0.1361,0.1363,0.1361,0.1362,7391.0
ONTUSDT,15,2025-06-08 09:00:00,0.1362,0.1362,0.1358,0.1358,2332.0
ONTUSDT,15,2025-06-08 09:15:00,0.1358,0.1358,0.135,0.1354,110091.0
ONTUSDT,15,2025-06-08 09:30:00,0.1354,0.1359,0.1354,0.1358,17398.0
ONTUSDT,15,2025-06-08 09:45:00,0.1358,0.136,0.1358,0.1359,2032.0
ONTUSDT,15,2025-06-08 10:00:00,0.1359,0.1359,0.1354,0.1355,14783.0
ONTUSDT,15,2025-06-08 10:15:00,0.1355,0.1355,0.1354,0.1354,1072.0
ONTUSDT,15,2025-06-08 10:30:00,0.1354,0.136,0.1354,0.1359,5942.0
ONTUSDT,15,2025-06-08 10:45:00,0.1359,0.1362,0.1359,0.136,13346.0
ONTUSDT,15,2025-06-08 11:00:00,0.136,0.1363,0.136,0.1363,7976.0
ONTUSDT,15,2025-06-08 11:15:00,0.1363,0.1366,0.1362,0.1364,41085.0
ONTUSDT,15,2025-06-08 11:30:00,0.1364,0.1369,0.1364,0.1369,13447.0
ONTUSDT,15,2025-06-08 11:45:00,0.1369,0.137,0.1368,0.137,7721.0
ONTUSDT,15,2025-06-08 12:00:00,0.137,0.1371,0.1368,0.1371,41128.0
ONTUSDT,15,2025-06-08 12:15:00,0.1371,0.1371,0.1366,0.1367,25755.0
ONTUSDT,15,2025-06-08 12:30:00,0.1367,0.1367,0.1363,0.1365,169904.0
ONTUSDT,15,2025-06-08 12:45:00,0.1365,0.137,0.1364,0.137,188182.0
ONTUSDT,15,2025-06-08 13:00:00,0.137,0.1371,0.1368,0.137,34451.0
ONTUSDT,15,2025-06-08 13:15:00,0.137,0.137,0.1367,0.1369,9339.0
ONTUSDT,15,2025-06-08 13:30:00,0.1369,0.138,0.1369,0.138,53765.0
ONTUSDT,15,2025-06-08 13:45:00,0.138,0.1383,0.1372,0.1372,96278.0
ONTUSDT,15,2025-06-08 14:00:00,0.1372,0.1375,0.137,0.1375,67347.0
