symbol,interval,timestamp_utc,open,high,low,close,volume
ORDIUSDT,1,2025-06-08 13:26:00,8.306,8.322,8.302,8.314,7834.11
ORDIUSDT,1,2025-06-08 13:27:00,8.314,8.322,8.304,8.312,7790.92
ORDIUSDT,1,2025-06-08 13:28:00,8.312,8.322,8.312,8.32,518.15
ORDIUSDT,1,2025-06-08 13:29:00,8.32,8.334,8.319,8.33,1450.07
ORDIUSDT,1,2025-06-08 13:30:00,8.33,8.336,8.33,8.335,549.11
ORDIUSDT,1,2025-06-08 13:31:00,8.335,8.34,8.326,8.326,305.81
ORDIUSDT,1,2025-06-08 13:32:00,8.326,8.334,8.326,8.334,158.79
ORDIUSDT,1,2025-06-08 13:33:00,8.334,8.36,8.333,8.36,690.87
ORDIUSDT,1,2025-06-08 13:34:00,8.36,8.379,8.36,8.369,10426.89
ORDIUSDT,1,2025-06-08 13:35:00,8.369,8.371,8.357,8.361,334.98
ORDIUSDT,1,2025-06-08 13:36:00,8.361,8.375,8.359,8.372,1060.47
ORDIUSDT,1,2025-06-08 13:37:00,8.372,8.383,8.372,8.383,176.15
ORDIUSDT,1,2025-06-08 13:38:00,8.383,8.407,8.383,8.392,9776.53
ORDIUSDT,1,2025-06-08 13:39:00,8.392,8.396,8.377,8.378,674.09
ORDIUSDT,1,2025-06-08 13:40:00,8.378,8.39,8.378,8.386,1430.24
ORDIUSDT,1,2025-06-08 13:41:00,8.386,8.394,8.38,8.393,398.92
ORDIUSDT,1,2025-06-08 13:42:00,8.393,8.403,8.391,8.402,1015.65
ORDIUSDT,1,2025-06-08 13:43:00,8.402,8.402,8.391,8.395,299.33
ORDIUSDT,1,2025-06-08 13:44:00,8.395,8.404,8.395,8.401,588.94
ORDIUSDT,1,2025-06-08 13:45:00,8.401,8.426,8.401,8.41,8669.52
ORDIUSDT,1,2025-06-08 13:46:00,8.41,8.41,8.391,8.401,857.85
ORDIUSDT,1,2025-06-08 13:47:00,8.401,8.412,8.396,8.412,1234.19
ORDIUSDT,1,2025-06-08 13:48:00,8.412,8.464,8.411,8.432,23982.52
ORDIUSDT,1,2025-06-08 13:49:00,8.432,8.443,8.415,8.442,1732.91
ORDIUSDT,1,2025-06-08 13:50:00,8.442,8.446,8.43,8.43,2643.47
ORDIUSDT,1,2025-06-08 13:51:00,8.43,8.43,8.404,8.404,5802.81
ORDIUSDT,1,2025-06-08 13:52:00,8.404,8.411,8.384,8.411,2890.32
ORDIUSDT,1,2025-06-08 13:53:00,8.411,8.411,8.387,8.387,1814.42
ORDIUSDT,1,2025-06-08 13:54:00,8.387,8.392,8.386,8.392,562.22
ORDIUSDT,1,2025-06-08 13:55:00,8.392,8.394,8.378,8.384,634.69
ORDIUSDT,1,2025-06-08 13:56:00,8.384,8.386,8.378,8.381,273.72
ORDIUSDT,1,2025-06-08 13:57:00,8.381,8.385,8.378,8.378,1318.52
ORDIUSDT,1,2025-06-08 13:58:00,8.378,8.38,8.361,8.361,2541.19
ORDIUSDT,1,2025-06-08 13:59:00,8.361,8.361,8.338,8.353,1729.07
ORDIUSDT,1,2025-06-08 14:00:00,8.353,8.362,8.344,8.352,1973.3
ORDIUSDT,1,2025-06-08 14:01:00,8.352,8.37,8.351,8.363,488.93
ORDIUSDT,1,2025-06-08 14:02:00,8.363,8.364,8.351,8.351,229.75
ORDIUSDT,1,2025-06-08 14:03:00,8.351,8.354,8.343,8.343,462.33
ORDIUSDT,1,2025-06-08 14:04:00,8.343,8.357,8.337,8.351,551.95
ORDIUSDT,1,2025-06-08 14:05:00,8.351,8.364,8.351,8.363,119.13
ORDIUSDT,1,2025-06-08 14:06:00,8.363,8.368,8.356,8.363,1051.59
ORDIUSDT,1,2025-06-08 14:07:00,8.363,8.37,8.36,8.369,306.97
ORDIUSDT,1,2025-06-08 14:08:00,8.369,8.376,8.367,8.367,540.06
ORDIUSDT,1,2025-06-08 14:09:00,8.367,8.38,8.367,8.38,55.77
ORDIUSDT,1,2025-06-08 14:10:00,8.38,8.387,8.377,8.387,1084.87
ORDIUSDT,1,2025-06-08 14:11:00,8.387,8.387,8.378,8.382,134.23
ORDIUSDT,1,2025-06-08 14:12:00,8.382,8.384,8.374,8.376,1508.94
ORDIUSDT,1,2025-06-08 14:13:00,8.376,8.376,8.361,8.367,364.34
ORDIUSDT,1,2025-06-08 14:14:00,8.367,8.37,8.365,8.365,114.01
ORDIUSDT,1,2025-06-08 14:15:00,8.365,8.366,8.36,8.364,643.45
