symbol,interval,timestamp_utc,open,high,low,close,volume
PYTHUSDT,15,2025-07-02 18:00:00,0.104,0.1048,0.104,0.1044,571109.0
PYTHUSDT,15,2025-07-02 18:15:00,0.1044,0.1046,0.104,0.1041,528790.0
PYTHUSDT,15,2025-07-02 18:30:00,0.1041,0.1042,0.1037,0.1039,391222.0
PYTHUSDT,15,2025-07-02 18:45:00,0.1039,0.1041,0.1029,0.1037,6432807.0
PYTHUSDT,15,2025-07-02 19:00:00,0.1037,0.1037,0.1031,0.1035,776196.0
PYTHUSDT,15,2025-07-02 19:15:00,0.1035,0.1039,0.1034,0.1038,696498.0
PYTHUSDT,15,2025-07-02 19:30:00,0.1038,0.1038,0.1032,0.1034,533353.0
PYTHUSDT,15,2025-07-02 19:45:00,0.1034,0.1041,0.1033,0.104,480374.0
PYTHUSDT,15,2025-07-02 20:00:00,0.104,0.1046,0.1037,0.1045,499221.0
PYTHUSDT,15,2025-07-02 20:15:00,0.1045,0.1046,0.1037,0.1044,3006821.0
PYTHUSDT,15,2025-07-02 20:30:00,0.1044,0.1044,0.1037,0.1037,708615.0
PYTHUSDT,15,2025-07-02 20:45:00,0.1037,0.1039,0.1036,0.1037,258688.0
PYTHUSDT,15,2025-07-02 21:00:00,0.1037,0.1044,0.1037,0.1043,658453.0
PYTHUSDT,15,2025-07-02 21:15:00,0.1043,0.1045,0.1038,0.1039,285088.0
PYTHUSDT,15,2025-07-02 21:30:00,0.1039,0.1045,0.1032,0.1036,1041320.0
PYTHUSDT,15,2025-07-02 21:45:00,0.1036,0.1044,0.1035,0.1044,1216736.0
PYTHUSDT,15,2025-07-02 22:00:00,0.1044,0.1049,0.1042,0.1046,853165.0
PYTHUSDT,15,2025-07-02 22:15:00,0.1046,0.105,0.1046,0.1048,501152.0
PYTHUSDT,15,2025-07-02 22:30:00,0.1048,0.1054,0.1046,0.1048,467947.0
PYTHUSDT,15,2025-07-02 22:45:00,0.1048,0.1048,0.1045,0.1048,172478.0
PYTHUSDT,15,2025-07-02 23:00:00,0.1048,0.1048,0.1042,0.1042,250002.0
PYTHUSDT,15,2025-07-02 23:15:00,0.1042,0.1044,0.1036,0.1036,902362.0
PYTHUSDT,15,2025-07-02 23:30:00,0.1036,0.1038,0.1032,0.1035,967837.0
PYTHUSDT,15,2025-07-02 23:45:00,0.1035,0.1039,0.1035,0.1039,485201.0
PYTHUSDT,15,2025-07-03 00:00:00,0.1039,0.104,0.1035,0.1039,471436.0
PYTHUSDT,15,2025-07-03 00:15:00,0.1039,0.1039,0.1025,0.1029,1917547.0
PYTHUSDT,15,2025-07-03 00:30:00,0.1029,0.1037,0.1028,0.1037,582888.0
PYTHUSDT,15,2025-07-03 00:45:00,0.1037,0.1038,0.1031,0.1033,401175.0
PYTHUSDT,15,2025-07-03 01:00:00,0.1033,0.1036,0.1032,0.1034,235494.0
PYTHUSDT,15,2025-07-03 01:15:00,0.1034,0.1044,0.1034,0.1041,1025828.0
PYTHUSDT,15,2025-07-03 01:30:00,0.1041,0.1042,0.1039,0.104,351190.0
PYTHUSDT,15,2025-07-03 01:45:00,0.104,0.1044,0.1038,0.1043,497792.0
PYTHUSDT,15,2025-07-03 02:00:00,0.1043,0.1043,0.1034,0.1035,464312.0
PYTHUSDT,15,2025-07-03 02:15:00,0.1035,0.1035,0.103,0.103,261390.0
PYTHUSDT,15,2025-07-03 02:30:00,0.103,0.1032,0.1028,0.103,266052.0
PYTHUSDT,15,2025-07-03 02:45:00,0.103,0.1034,0.103,0.1033,117141.0
PYTHUSDT,15,2025-07-03 03:00:00,0.1033,0.1034,0.1029,0.1029,131023.0
PYTHUSDT,15,2025-07-03 03:15:00,0.1029,0.1042,0.1027,0.1038,1568676.0
PYTHUSDT,15,2025-07-03 03:30:00,0.1038,0.1038,0.1034,0.1038,255345.0
PYTHUSDT,15,2025-07-03 03:45:00,0.1038,0.1038,0.103,0.1031,264435.0
PYTHUSDT,15,2025-07-03 04:00:00,0.1031,0.1035,0.1027,0.1034,429721.0
PYTHUSDT,15,2025-07-03 04:15:00,0.1034,0.1038,0.103,0.1034,1316338.0
PYTHUSDT,15,2025-07-03 04:30:00,0.1034,0.1036,0.1032,0.1032,141247.0
PYTHUSDT,15,2025-07-03 04:45:00,0.1032,0.1039,0.103,0.1036,564914.0
PYTHUSDT,15,2025-07-03 05:00:00,0.1036,0.1044,0.1034,0.1042,2346958.0
PYTHUSDT,15,2025-07-03 05:15:00,0.1042,0.1051,0.1042,0.1047,746582.0
PYTHUSDT,15,2025-07-03 05:30:00,0.1047,0.1061,0.1047,0.1057,434781.0
PYTHUSDT,15,2025-07-03 05:45:00,0.1057,0.1059,0.1053,0.1059,353981.0
PYTHUSDT,15,2025-07-03 06:00:00,0.1059,0.1062,0.1056,0.1058,472158.0
