symbol,interval,timestamp_utc,open,high,low,close,volume
REDUSDT,5,2025-07-03 02:05:00,0.3108,0.3112,0.3105,0.3105,15379.0
REDUSDT,5,2025-07-03 02:10:00,0.3105,0.3113,0.3104,0.3113,8850.0
REDUSDT,5,2025-07-03 02:15:00,0.3113,0.3119,0.3097,0.3097,37165.0
REDUSDT,5,2025-07-03 02:20:00,0.3097,0.3124,0.3097,0.3119,32001.0
REDUSDT,5,2025-07-03 02:25:00,0.3119,0.312,0.3106,0.3106,2858.0
REDUSDT,5,2025-07-03 02:30:00,0.3106,0.3111,0.3106,0.3108,1290.0
REDUSDT,5,2025-07-03 02:35:00,0.3108,0.3111,0.3108,0.3109,857.0
REDUSDT,5,2025-07-03 02:40:00,0.3109,0.3109,0.3097,0.31,3894.0
REDUSDT,5,2025-07-03 02:45:00,0.31,0.3106,0.31,0.3106,1277.0
REDUSDT,5,2025-07-03 02:50:00,0.3106,0.3107,0.3102,0.3102,1986.0
REDUSDT,5,2025-07-03 02:55:00,0.3102,0.3106,0.3102,0.3106,340.0
REDUSDT,5,2025-07-03 03:00:00,0.3106,0.3107,0.3105,0.3105,1228.0
REDUSDT,5,2025-07-03 03:05:00,0.3105,0.3106,0.3088,0.3088,13784.0
REDUSDT,5,2025-07-03 03:10:00,0.3088,0.3088,0.3078,0.3078,1156.0
REDUSDT,5,2025-07-03 03:15:00,0.3078,0.3078,0.3077,0.3077,1151.0
REDUSDT,5,2025-07-03 03:20:00,0.3077,0.3093,0.3077,0.3093,2013.0
REDUSDT,5,2025-07-03 03:25:00,0.3093,0.3097,0.3093,0.3097,44.0
REDUSDT,5,2025-07-03 03:30:00,0.3097,0.3097,0.3094,0.3094,3190.0
REDUSDT,5,2025-07-03 03:35:00,0.3094,0.3094,0.3087,0.3088,1159.0
REDUSDT,5,2025-07-03 03:40:00,0.3088,0.3091,0.3087,0.309,596.0
REDUSDT,5,2025-07-03 03:45:00,0.309,0.309,0.3083,0.3084,740.0
REDUSDT,5,2025-07-03 03:50:00,0.3084,0.3085,0.3082,0.3085,251.0
REDUSDT,5,2025-07-03 03:55:00,0.3085,0.3085,0.3084,0.3084,77.0
REDUSDT,5,2025-07-03 04:00:00,0.3084,0.3084,0.308,0.3083,7593.0
REDUSDT,5,2025-07-03 04:05:00,0.3083,0.3087,0.3083,0.3087,783.0
REDUSDT,5,2025-07-03 04:10:00,0.3087,0.309,0.3087,0.309,832.0
REDUSDT,5,2025-07-03 04:15:00,0.309,0.309,0.3088,0.3088,951.0
REDUSDT,5,2025-07-03 04:20:00,0.3088,0.3092,0.3088,0.3092,29.0
REDUSDT,5,2025-07-03 04:25:00,0.3092,0.3095,0.3092,0.3094,98.0
REDUSDT,5,2025-07-03 04:30:00,0.3094,0.3096,0.309,0.309,1089.0
REDUSDT,5,2025-07-03 04:35:00,0.309,0.3096,0.309,0.3096,1325.0
REDUSDT,5,2025-07-03 04:40:00,0.3096,0.3096,0.3087,0.3088,1279.0
REDUSDT,5,2025-07-03 04:45:00,0.3088,0.3101,0.3087,0.3101,3874.0
REDUSDT,5,2025-07-03 04:50:00,0.3101,0.3107,0.3098,0.3104,1867.0
REDUSDT,5,2025-07-03 04:55:00,0.3104,0.3104,0.3103,0.3103,58.0
REDUSDT,5,2025-07-03 05:00:00,0.3103,0.3106,0.3103,0.3105,3213.0
REDUSDT,5,2025-07-03 05:05:00,0.3105,0.311,0.3098,0.311,44048.0
REDUSDT,5,2025-07-03 05:10:00,0.311,0.3111,0.3104,0.3105,10805.0
REDUSDT,5,2025-07-03 05:15:00,0.3105,0.3111,0.3104,0.3111,1926.0
REDUSDT,5,2025-07-03 05:20:00,0.3111,0.3118,0.3111,0.3118,1918.0
REDUSDT,5,2025-07-03 05:25:00,0.3118,0.3118,0.3117,0.3117,634.0
REDUSDT,5,2025-07-03 05:30:00,0.3117,0.3136,0.3115,0.3133,27281.0
REDUSDT,5,2025-07-03 05:35:00,0.3133,0.3133,0.3121,0.3126,14733.0
REDUSDT,5,2025-07-03 05:40:00,0.3126,0.313,0.3125,0.3125,2926.0
REDUSDT,5,2025-07-03 05:45:00,0.3125,0.3128,0.3124,0.3128,1028.0
REDUSDT,5,2025-07-03 05:50:00,0.3128,0.3129,0.3126,0.3126,20.0
REDUSDT,5,2025-07-03 05:55:00,0.3126,0.3128,0.3126,0.3128,2570.0
REDUSDT,5,2025-07-03 06:00:00,0.3128,0.313,0.3118,0.312,4674.0
REDUSDT,5,2025-07-03 06:05:00,0.312,0.3121,0.3113,0.3114,6320.0
