symbol,interval,timestamp_utc,open,high,low,close,volume
SIGNUSDT,15,2025-06-08 01:45:00,0.07145,0.07155,0.07125,0.07144,359180.0
SIGNUSDT,15,2025-06-08 02:00:00,0.07144,0.07145,0.07096,0.071,218290.0
SIGNUSDT,15,2025-06-08 02:15:00,0.071,0.07117,0.071,0.07106,97210.0
SIGNUSDT,15,2025-06-08 02:30:00,0.07106,0.07147,0.071,0.07143,521970.0
SIGNUSDT,15,2025-06-08 02:45:00,0.07143,0.07176,0.07115,0.07137,1601780.0
SIGNUSDT,15,2025-06-08 03:00:00,0.07137,0.07143,0.07117,0.07139,507670.0
SIGNUSDT,15,2025-06-08 03:15:00,0.07139,0.07139,0.07111,0.07122,274950.0
SIGNUSDT,15,2025-06-08 03:30:00,0.07122,0.07143,0.07113,0.07131,328920.0
SIGNUSDT,15,2025-06-08 03:45:00,0.07131,0.07131,0.07111,0.07118,116320.0
SIGNUSDT,15,2025-06-08 04:00:00,0.07118,0.07118,0.07086,0.07089,243920.0
SIGNUSDT,15,2025-06-08 04:15:00,0.07089,0.07098,0.07085,0.07094,376220.0
SIGNUSDT,15,2025-06-08 04:30:00,0.07094,0.07129,0.07092,0.07114,326800.0
SIGNUSDT,15,2025-06-08 04:45:00,0.07114,0.07144,0.07113,0.07141,238450.0
SIGNUSDT,15,2025-06-08 05:00:00,0.07141,0.07148,0.07113,0.07133,862400.0
SIGNUSDT,15,2025-06-08 05:15:00,0.07133,0.07178,0.07131,0.07168,478980.0
SIGNUSDT,15,2025-06-08 05:30:00,0.07168,0.07174,0.07132,0.07138,1115790.0
SIGNUSDT,15,2025-06-08 05:45:00,0.07138,0.07149,0.07112,0.07116,190210.0
SIGNUSDT,15,2025-06-08 06:00:00,0.07116,0.07131,0.07066,0.07066,681390.0
SIGNUSDT,15,2025-06-08 06:15:00,0.07066,0.0708,0.07041,0.07052,739770.0
SIGNUSDT,15,2025-06-08 06:30:00,0.07052,0.07057,0.07041,0.07049,288390.0
SIGNUSDT,15,2025-06-08 06:45:00,0.07049,0.07057,0.07013,0.07022,925460.0
SIGNUSDT,15,2025-06-08 07:00:00,0.07022,0.07053,0.07018,0.07027,141840.0
SIGNUSDT,15,2025-06-08 07:15:00,0.07027,0.07036,0.06995,0.07003,333510.0
SIGNUSDT,15,2025-06-08 07:30:00,0.07003,0.07004,0.06963,0.06986,1052280.0
SIGNUSDT,15,2025-06-08 07:45:00,0.06986,0.07005,0.06986,0.06995,182650.0
SIGNUSDT,15,2025-06-08 08:00:00,0.06995,0.07047,0.06995,0.07044,438000.0
SIGNUSDT,15,2025-06-08 08:15:00,0.07044,0.07064,0.07042,0.07046,167610.0
SIGNUSDT,15,2025-06-08 08:30:00,0.07046,0.07084,0.07041,0.07084,299310.0
SIGNUSDT,15,2025-06-08 08:45:00,0.07084,0.07139,0.07084,0.07127,875820.0
SIGNUSDT,15,2025-06-08 09:00:00,0.07127,0.07136,0.07114,0.07128,381280.0
SIGNUSDT,15,2025-06-08 09:15:00,0.07128,0.07132,0.07058,0.07068,1063340.0
SIGNUSDT,15,2025-06-08 09:30:00,0.07068,0.07127,0.07062,0.07111,363150.0
SIGNUSDT,15,2025-06-08 09:45:00,0.07111,0.0713,0.07108,0.07118,227760.0
SIGNUSDT,15,2025-06-08 10:00:00,0.07118,0.07132,0.07093,0.07125,358310.0
SIGNUSDT,15,2025-06-08 10:15:00,0.07125,0.07154,0.07102,0.07105,447970.0
SIGNUSDT,15,2025-06-08 10:30:00,0.07105,0.07147,0.07094,0.07139,346730.0
SIGNUSDT,15,2025-06-08 10:45:00,0.07139,0.07146,0.07114,0.07135,342550.0
SIGNUSDT,15,2025-06-08 11:00:00,0.07135,0.07194,0.07129,0.07185,659880.0
SIGNUSDT,15,2025-06-08 11:15:00,0.07185,0.07203,0.07148,0.07152,734200.0
SIGNUSDT,15,2025-06-08 11:30:00,0.07152,0.07163,0.0714,0.07145,736430.0
SIGNUSDT,15,2025-06-08 11:45:00,0.07145,0.07174,0.07142,0.07171,914370.0
SIGNUSDT,15,2025-06-08 12:00:00,0.07171,0.07233,0.07168,0.07228,401970.0
SIGNUSDT,15,2025-06-08 12:15:00,0.07228,0.07229,0.07186,0.07196,301030.0
SIGNUSDT,15,2025-06-08 12:30:00,0.07196,0.07196,0.07156,0.07157,348650.0
SIGNUSDT,15,2025-06-08 12:45:00,0.07157,0.07184,0.07157,0.07165,324290.0
SIGNUSDT,15,2025-06-08 13:00:00,0.07165,0.07169,0.07129,0.07138,646880.0
SIGNUSDT,15,2025-06-08 13:15:00,0.07138,0.07155,0.07121,0.07153,934650.0
SIGNUSDT,15,2025-06-08 13:30:00,0.07153,0.07173,0.07142,0.07173,958130.0
SIGNUSDT,15,2025-06-08 13:45:00,0.07173,0.07213,0.07134,0.0715,2112010.0
SIGNUSDT,15,2025-06-08 14:00:00,0.0715,0.07203,0.07144,0.07199,695310.0
