symbol,interval,timestamp_utc,open,high,low,close,volume
SPXUSDT,1,2025-06-08 13:26:00,1.1746,1.1754,1.1742,1.1742,7807.0
SPXUSDT,1,2025-06-08 13:27:00,1.1742,1.1752,1.1735,1.1751,5383.0
SPXUSDT,1,2025-06-08 13:28:00,1.1751,1.1774,1.1751,1.1768,6663.0
SPXUSDT,1,2025-06-08 13:29:00,1.1768,1.1792,1.1768,1.1782,20840.0
SPXUSDT,1,2025-06-08 13:30:00,1.1782,1.1788,1.1773,1.1777,5071.0
SPXUSDT,1,2025-06-08 13:31:00,1.1777,1.1788,1.1769,1.1779,5781.0
SPXUSDT,1,2025-06-08 13:32:00,1.1779,1.178,1.1765,1.178,19115.0
SPXUSDT,1,2025-06-08 13:33:00,1.178,1.1818,1.1778,1.1816,11412.0
SPXUSDT,1,2025-06-08 13:34:00,1.1816,1.184,1.1816,1.1828,15789.0
SPXUSDT,1,2025-06-08 13:35:00,1.1828,1.1841,1.1815,1.1832,10910.0
SPXUSDT,1,2025-06-08 13:36:00,1.1832,1.185,1.1815,1.1849,6947.0
SPXUSDT,1,2025-06-08 13:37:00,1.1849,1.1896,1.1848,1.1893,55961.0
SPXUSDT,1,2025-06-08 13:38:00,1.1893,1.19,1.1882,1.1883,21020.0
SPXUSDT,1,2025-06-08 13:39:00,1.1883,1.1897,1.1883,1.1895,7795.0
SPXUSDT,1,2025-06-08 13:40:00,1.1895,1.1896,1.1885,1.189,10316.0
SPXUSDT,1,2025-06-08 13:41:00,1.189,1.1898,1.1888,1.1893,12663.0
SPXUSDT,1,2025-06-08 13:42:00,1.1893,1.1901,1.1879,1.1899,49996.0
SPXUSDT,1,2025-06-08 13:43:00,1.1899,1.1901,1.1887,1.1891,9631.0
SPXUSDT,1,2025-06-08 13:44:00,1.1891,1.1899,1.1891,1.1895,3499.0
SPXUSDT,1,2025-06-08 13:45:00,1.1895,1.1905,1.188,1.1889,18989.0
SPXUSDT,1,2025-06-08 13:46:00,1.1889,1.1889,1.184,1.1877,52321.0
SPXUSDT,1,2025-06-08 13:47:00,1.1877,1.189,1.1851,1.1889,15716.0
SPXUSDT,1,2025-06-08 13:48:00,1.1889,1.1944,1.1871,1.1875,58725.0
SPXUSDT,1,2025-06-08 13:49:00,1.1875,1.1881,1.1827,1.1867,59977.0
SPXUSDT,1,2025-06-08 13:50:00,1.1867,1.1877,1.1852,1.187,35177.0
SPXUSDT,1,2025-06-08 13:51:00,1.187,1.1875,1.1847,1.1851,20002.0
SPXUSDT,1,2025-06-08 13:52:00,1.1851,1.1871,1.1811,1.1855,57147.0
SPXUSDT,1,2025-06-08 13:53:00,1.1855,1.1876,1.1851,1.1854,12929.0
SPXUSDT,1,2025-06-08 13:54:00,1.1854,1.1859,1.1824,1.1859,16769.0
SPXUSDT,1,2025-06-08 13:55:00,1.1859,1.1859,1.1829,1.1835,9504.0
SPXUSDT,1,2025-06-08 13:56:00,1.1835,1.1858,1.1823,1.1854,31055.0
SPXUSDT,1,2025-06-08 13:57:00,1.1854,1.1861,1.1844,1.1844,3936.0
SPXUSDT,1,2025-06-08 13:58:00,1.1844,1.1858,1.1829,1.1854,15392.0
SPXUSDT,1,2025-06-08 13:59:00,1.1854,1.1856,1.1817,1.1834,43316.0
SPXUSDT,1,2025-06-08 14:00:00,1.1834,1.1846,1.182,1.1843,20533.0
SPXUSDT,1,2025-06-08 14:01:00,1.1843,1.1878,1.1837,1.1856,8122.0
SPXUSDT,1,2025-06-08 14:02:00,1.1856,1.1884,1.1853,1.188,22561.0
SPXUSDT,1,2025-06-08 14:03:00,1.188,1.1889,1.1852,1.1852,30804.0
SPXUSDT,1,2025-06-08 14:04:00,1.1852,1.1881,1.1844,1.1881,6536.0
SPXUSDT,1,2025-06-08 14:05:00,1.1881,1.1905,1.1881,1.1899,9871.0
SPXUSDT,1,2025-06-08 14:06:00,1.1899,1.1917,1.1895,1.1915,8452.0
SPXUSDT,1,2025-06-08 14:07:00,1.1915,1.1933,1.191,1.1927,9656.0
SPXUSDT,1,2025-06-08 14:08:00,1.1927,1.1992,1.1916,1.197,81409.0
SPXUSDT,1,2025-06-08 14:09:00,1.197,1.1987,1.1929,1.1947,73243.0
SPXUSDT,1,2025-06-08 14:10:00,1.1947,1.1951,1.191,1.1915,19240.0
SPXUSDT,1,2025-06-08 14:11:00,1.1915,1.1922,1.1891,1.1914,15427.0
SPXUSDT,1,2025-06-08 14:12:00,1.1914,1.1923,1.1903,1.1914,6263.0
SPXUSDT,1,2025-06-08 14:13:00,1.1914,1.1922,1.1903,1.1922,5723.0
SPXUSDT,1,2025-06-08 14:14:00,1.1922,1.1925,1.1899,1.1904,7642.0
SPXUSDT,1,2025-06-08 14:15:00,1.1904,1.1906,1.1888,1.1898,9692.0
