symbol,interval,timestamp_utc,open,high,low,close,volume
SSVUSDT,15,2025-07-02 18:00:00,7.709,7.792,7.709,7.765,2743.41
SSVUSDT,15,2025-07-02 18:15:00,7.765,7.819,7.765,7.809,1265.47
SSVUSDT,15,2025-07-02 18:30:00,7.809,7.824,7.782,7.793,2067.27
SSVUSDT,15,2025-07-02 18:45:00,7.793,7.847,7.79,7.836,4683.29
SSVUSDT,15,2025-07-02 19:00:00,7.836,7.842,7.753,7.787,6591.24
SSVUSDT,15,2025-07-02 19:15:00,7.787,7.832,7.766,7.816,3645.22
SSVUSDT,15,2025-07-02 19:30:00,7.816,7.824,7.775,7.782,2063.04
SSVUSDT,15,2025-07-02 19:45:00,7.782,7.854,7.769,7.847,2900.93
SSVUSDT,15,2025-07-02 20:00:00,7.847,7.873,7.801,7.871,3538.31
SSVUSDT,15,2025-07-02 20:15:00,7.871,7.879,7.787,7.872,7466.63
SSVUSDT,15,2025-07-02 20:30:00,7.872,7.912,7.843,7.881,4490.19
SSVUSDT,15,2025-07-02 20:45:00,7.881,7.899,7.849,7.866,1748.57
SSVUSDT,15,2025-07-02 21:00:00,7.866,7.878,7.839,7.846,2400.13
SSVUSDT,15,2025-07-02 21:15:00,7.846,7.885,7.824,7.829,1479.85
SSVUSDT,15,2025-07-02 21:30:00,7.829,7.908,7.829,7.845,1914.08
SSVUSDT,15,2025-07-02 21:45:00,7.845,7.929,7.845,7.887,4845.45
SSVUSDT,15,2025-07-02 22:00:00,7.887,7.922,7.856,7.901,4912.29
SSVUSDT,15,2025-07-02 22:15:00,7.901,7.901,7.861,7.897,749.45
SSVUSDT,15,2025-07-02 22:30:00,7.897,7.983,7.887,7.927,1493.65
SSVUSDT,15,2025-07-02 22:45:00,7.927,7.928,7.837,7.853,4111.41
SSVUSDT,15,2025-07-02 23:00:00,7.853,7.887,7.823,7.831,1733.86
SSVUSDT,15,2025-07-02 23:15:00,7.831,7.843,7.773,7.808,1416.71
SSVUSDT,15,2025-07-02 23:30:00,7.808,7.829,7.744,7.753,3270.72
SSVUSDT,15,2025-07-02 23:45:00,7.753,7.785,7.72,7.737,2799.47
SSVUSDT,15,2025-07-03 00:00:00,7.737,7.8,7.723,7.729,3232.15
SSVUSDT,15,2025-07-03 00:15:00,7.729,7.729,7.661,7.714,1907.62
SSVUSDT,15,2025-07-03 00:30:00,7.714,7.734,7.664,7.73,1760.19
SSVUSDT,15,2025-07-03 00:45:00,7.73,7.748,7.715,7.743,4530.85
SSVUSDT,15,2025-07-03 01:00:00,7.743,7.79,7.724,7.782,2860.86
SSVUSDT,15,2025-07-03 01:15:00,7.782,7.873,7.781,7.867,8554.07
SSVUSDT,15,2025-07-03 01:30:00,7.867,7.891,7.855,7.871,3197.29
SSVUSDT,15,2025-07-03 01:45:00,7.871,7.91,7.866,7.894,950.54
SSVUSDT,15,2025-07-03 02:00:00,7.894,7.894,7.717,7.739,14202.15
SSVUSDT,15,2025-07-03 02:15:00,7.739,7.763,7.688,7.695,2937.87
SSVUSDT,15,2025-07-03 02:30:00,7.695,7.712,7.672,7.686,1136.92
SSVUSDT,15,2025-07-03 02:45:00,7.686,7.762,7.669,7.757,4548.17
SSVUSDT,15,2025-07-03 03:00:00,7.757,7.765,7.694,7.699,3461.47
SSVUSDT,15,2025-07-03 03:15:00,7.699,7.744,7.691,7.717,543.72
SSVUSDT,15,2025-07-03 03:30:00,7.717,7.744,7.697,7.729,4350.76
SSVUSDT,15,2025-07-03 03:45:00,7.729,7.729,7.691,7.698,522.33
SSVUSDT,15,2025-07-03 04:00:00,7.698,7.738,7.69,7.738,800.98
SSVUSDT,15,2025-07-03 04:15:00,7.738,7.754,7.738,7.746,1136.82
SSVUSDT,15,2025-07-03 04:30:00,7.746,7.754,7.722,7.722,2776.9
SSVUSDT,15,2025-07-03 04:45:00,7.722,7.789,7.712,7.764,4343.52
SSVUSDT,15,2025-07-03 05:00:00,7.764,7.82,7.752,7.792,6892.23
SSVUSDT,15,2025-07-03 05:15:00,7.792,7.838,7.791,7.827,2871.84
SSVUSDT,15,2025-07-03 05:30:00,7.827,7.964,7.817,7.895,10287.26
SSVUSDT,15,2025-07-03 05:45:00,7.895,7.915,7.878,7.902,1628.0
SSVUSDT,15,2025-07-03 06:00:00,7.902,7.937,7.887,7.909,2728.97
