symbol,interval,timestamp_utc,open,high,low,close,volume
VOXELUSDT,15,2025-06-08 01:45:00,0.05533,0.05549,0.05532,0.05545,53291.0
VOXELUSDT,15,2025-06-08 02:00:00,0.05545,0.05547,0.05525,0.05526,60673.0
VOXELUSDT,15,2025-06-08 02:15:00,0.05526,0.05533,0.05523,0.0553,17067.0
VOXELUSDT,15,2025-06-08 02:30:00,0.0553,0.05537,0.05525,0.05529,43774.0
VOXELUSDT,15,2025-06-08 02:45:00,0.05529,0.05529,0.05511,0.05514,133598.0
VOXELUSDT,15,2025-06-08 03:00:00,0.05514,0.05521,0.05498,0.055,83395.0
VOXELUSDT,15,2025-06-08 03:15:00,0.055,0.05505,0.05494,0.05496,56089.0
VOXELUSDT,15,2025-06-08 03:30:00,0.05496,0.05496,0.05481,0.05486,56577.0
VOXELUSDT,15,2025-06-08 03:45:00,0.05486,0.05488,0.05477,0.05483,39365.0
VOXELUSDT,15,2025-06-08 04:00:00,0.05483,0.05494,0.05477,0.05487,68287.0
VOXELUSDT,15,2025-06-08 04:15:00,0.05487,0.05497,0.05484,0.05495,22228.0
VOXELUSDT,15,2025-06-08 04:30:00,0.05495,0.0552,0.05486,0.05511,117350.0
VOXELUSDT,15,2025-06-08 04:45:00,0.05511,0.05514,0.05504,0.05514,36914.0
VOXELUSDT,15,2025-06-08 05:00:00,0.05514,0.05514,0.05484,0.05491,34076.0
VOXELUSDT,15,2025-06-08 05:15:00,0.05491,0.05511,0.05482,0.05507,79122.0
VOXELUSDT,15,2025-06-08 05:30:00,0.05507,0.05507,0.0548,0.0548,61167.0
VOXELUSDT,15,2025-06-08 05:45:00,0.0548,0.05481,0.05456,0.05461,66135.0
VOXELUSDT,15,2025-06-08 06:00:00,0.05461,0.05482,0.05461,0.05482,81422.0
VOXELUSDT,15,2025-06-08 06:15:00,0.05482,0.05494,0.05477,0.05482,268351.0
VOXELUSDT,15,2025-06-08 06:30:00,0.05482,0.05492,0.05473,0.05492,109748.0
VOXELUSDT,15,2025-06-08 06:45:00,0.05492,0.05492,0.05467,0.05467,21003.0
VOXELUSDT,15,2025-06-08 07:00:00,0.05467,0.05467,0.05447,0.05447,198435.0
VOXELUSDT,15,2025-06-08 07:15:00,0.05447,0.05463,0.05445,0.05449,126667.0
VOXELUSDT,15,2025-06-08 07:30:00,0.05449,0.05451,0.05431,0.05438,181642.0
VOXELUSDT,15,2025-06-08 07:45:00,0.05438,0.05443,0.05428,0.05428,59718.0
VOXELUSDT,15,2025-06-08 08:00:00,0.05428,0.05473,0.05428,0.05471,93796.0
VOXELUSDT,15,2025-06-08 08:15:00,0.05471,0.05471,0.05453,0.05453,59642.0
VOXELUSDT,15,2025-06-08 08:30:00,0.05453,0.05469,0.05452,0.05469,67400.0
VOXELUSDT,15,2025-06-08 08:45:00,0.05469,0.0549,0.05469,0.05469,79868.0
VOXELUSDT,15,2025-06-08 09:00:00,0.05469,0.0549,0.05469,0.0548,80450.0
VOXELUSDT,15,2025-06-08 09:15:00,0.0548,0.05494,0.05411,0.05437,612621.0
VOXELUSDT,15,2025-06-08 09:30:00,0.05437,0.05455,0.05431,0.05444,117775.0
VOXELUSDT,15,2025-06-08 09:45:00,0.05444,0.05459,0.05438,0.0545,163798.0
VOXELUSDT,15,2025-06-08 10:00:00,0.0545,0.05457,0.05439,0.05439,52930.0
VOXELUSDT,15,2025-06-08 10:15:00,0.05439,0.05443,0.05431,0.05442,89894.0
VOXELUSDT,15,2025-06-08 10:30:00,0.05442,0.05485,0.05441,0.05484,130136.0
VOXELUSDT,15,2025-06-08 10:45:00,0.05484,0.05486,0.05472,0.05472,54960.0
VOXELUSDT,15,2025-06-08 11:00:00,0.05472,0.0553,0.05472,0.05527,206771.0
VOXELUSDT,15,2025-06-08 11:15:00,0.05527,0.05556,0.05518,0.05535,249978.0
VOXELUSDT,15,2025-06-08 11:30:00,0.05535,0.05544,0.05533,0.05536,47393.0
VOXELUSDT,15,2025-06-08 11:45:00,0.05536,0.05536,0.05527,0.05528,25638.0
VOXELUSDT,15,2025-06-08 12:00:00,0.05528,0.0555,0.05528,0.05541,388174.0
VOXELUSDT,15,2025-06-08 12:15:00,0.05541,0.05541,0.05494,0.05494,128903.0
VOXELUSDT,15,2025-06-08 12:30:00,0.05494,0.05494,0.05474,0.05483,194069.0
VOXELUSDT,15,2025-06-08 12:45:00,0.05483,0.05501,0.05483,0.05495,102823.0
VOXELUSDT,15,2025-06-08 13:00:00,0.05495,0.05505,0.05483,0.055,126693.0
VOXELUSDT,15,2025-06-08 13:15:00,0.055,0.055,0.05481,0.05489,60436.0
VOXELUSDT,15,2025-06-08 13:30:00,0.05489,0.05528,0.05489,0.05524,62069.0
VOXELUSDT,15,2025-06-08 13:45:00,0.05524,0.05564,0.05499,0.05499,902964.0
VOXELUSDT,15,2025-06-08 14:00:00,0.05499,0.05508,0.05486,0.05508,72512.0
