symbol,interval,timestamp_utc,open,high,low,close,volume
XCHUSDT,15,2025-07-02 18:00:00,9.97,10.02,9.97,9.98,183.8
XCHUSDT,15,2025-07-02 18:15:00,9.98,10.01,9.98,10.01,134.4
XCHUSDT,15,2025-07-02 18:30:00,10.01,10.01,9.97,9.98,93.35
XCHUSDT,15,2025-07-02 18:45:00,9.98,10.11,9.98,10.08,748.06
XCHUSDT,15,2025-07-02 19:00:00,10.08,10.1,10.04,10.04,219.95
XCHUSDT,15,2025-07-02 19:15:00,10.04,10.06,10.04,10.06,2.09
XCHUSDT,15,2025-07-02 19:30:00,10.06,10.06,10.03,10.03,4.63
XCHUSDT,15,2025-07-02 19:45:00,10.03,10.06,10.01,10.06,217.27
XCHUSDT,15,2025-07-02 20:00:00,10.06,10.06,10.04,10.05,276.0
XCHUSDT,15,2025-07-02 20:15:00,10.05,10.09,10.0,10.09,126.39
XCHUSDT,15,2025-07-02 20:30:00,10.09,10.14,10.06,10.08,127.63
XCHUSDT,15,2025-07-02 20:45:00,10.08,10.09,10.06,10.06,37.2
XCHUSDT,15,2025-07-02 21:00:00,10.06,10.06,10.04,10.06,18.84
XCHUSDT,15,2025-07-02 21:15:00,10.06,10.18,10.06,10.09,1094.71
XCHUSDT,15,2025-07-02 21:30:00,10.09,10.11,10.05,10.07,98.25
XCHUSDT,15,2025-07-02 21:45:00,10.07,10.11,10.05,10.09,372.82
XCHUSDT,15,2025-07-02 22:00:00,10.09,10.15,10.03,10.03,306.35
XCHUSDT,15,2025-07-02 22:15:00,10.03,10.1,10.03,10.09,533.99
XCHUSDT,15,2025-07-02 22:30:00,10.09,10.13,10.05,10.05,71.29
XCHUSDT,15,2025-07-02 22:45:00,10.05,10.05,10.0,10.0,88.84
XCHUSDT,15,2025-07-02 23:00:00,10.0,10.04,9.96,9.97,119.95
XCHUSDT,15,2025-07-02 23:15:00,9.97,9.98,9.93,9.98,110.32
XCHUSDT,15,2025-07-02 23:30:00,9.98,9.99,9.95,9.95,31.2
XCHUSDT,15,2025-07-02 23:45:00,9.95,9.98,9.95,9.98,21.37
XCHUSDT,15,2025-07-03 00:00:00,9.98,9.99,9.97,9.97,82.73
XCHUSDT,15,2025-07-03 00:15:00,9.97,9.98,9.93,9.98,329.47
XCHUSDT,15,2025-07-03 00:30:00,9.98,10.02,9.96,10.01,157.94
XCHUSDT,15,2025-07-03 00:45:00,10.01,10.04,9.99,10.01,412.81
XCHUSDT,15,2025-07-03 01:00:00,10.01,10.03,9.97,10.03,173.48
XCHUSDT,15,2025-07-03 01:15:00,10.03,10.03,9.99,10.02,36.59
XCHUSDT,15,2025-07-03 01:30:00,10.02,10.04,9.99,9.99,19.98
XCHUSDT,15,2025-07-03 01:45:00,9.99,10.02,9.99,10.0,25.78
XCHUSDT,15,2025-07-03 02:00:00,10.0,10.0,9.95,9.95,7.68
XCHUSDT,15,2025-07-03 02:15:00,9.95,9.96,9.94,9.96,47.73
XCHUSDT,15,2025-07-03 02:30:00,9.96,9.96,9.93,9.93,318.3
XCHUSDT,15,2025-07-03 02:45:00,9.93,9.95,9.93,9.94,30.24
XCHUSDT,15,2025-07-03 03:00:00,9.94,9.95,9.93,9.93,6.48
XCHUSDT,15,2025-07-03 03:15:00,9.93,9.99,9.93,9.97,75.49
XCHUSDT,15,2025-07-03 03:30:00,9.97,10.0,9.95,9.96,169.62
XCHUSDT,15,2025-07-03 03:45:00,9.96,9.96,9.93,9.94,17.45
XCHUSDT,15,2025-07-03 04:00:00,9.94,9.94,9.91,9.94,114.45
XCHUSDT,15,2025-07-03 04:15:00,9.94,9.96,9.94,9.96,34.84
XCHUSDT,15,2025-07-03 04:30:00,9.96,9.96,9.94,9.95,4.31
XCHUSDT,15,2025-07-03 04:45:00,9.95,9.98,9.95,9.97,22.31
XCHUSDT,15,2025-07-03 05:00:00,9.97,10.06,9.97,10.05,176.73
XCHUSDT,15,2025-07-03 05:15:00,10.05,10.07,10.05,10.06,14.19
XCHUSDT,15,2025-07-03 05:30:00,10.06,10.09,10.04,10.05,38.82
XCHUSDT,15,2025-07-03 05:45:00,10.05,10.06,10.05,10.06,1.32
XCHUSDT,15,2025-07-03 06:00:00,10.06,10.1,10.02,10.02,166.29
