symbol,interval,timestamp_utc,open,high,low,close,volume
XIONUSDT,5,2025-06-08 10:05:00,1.2051,1.2073,1.198,1.2021,6047.4
XIONUSDT,5,2025-06-08 10:10:00,1.2021,1.2205,1.2017,1.2164,16108.2
XIONUSDT,5,2025-06-08 10:15:00,1.2164,1.2233,1.2163,1.2164,5075.8
XIONUSDT,5,2025-06-08 10:20:00,1.2164,1.2216,1.2164,1.2188,1039.6
XIONUSDT,5,2025-06-08 10:25:00,1.2188,1.2192,1.211,1.211,899.7
XIONUSDT,5,2025-06-08 10:30:00,1.211,1.211,1.2016,1.2041,1129.2
XIONUSDT,5,2025-06-08 10:35:00,1.2041,1.2177,1.201,1.2114,5882.1
XIONUSDT,5,2025-06-08 10:40:00,1.2114,1.2114,1.1967,1.2035,9112.5
XIONUSDT,5,2025-06-08 10:45:00,1.2035,1.2085,1.199,1.205,3403.4
XIONUSDT,5,2025-06-08 10:50:00,1.205,1.2128,1.2024,1.2125,7272.7
XIONUSDT,5,2025-06-08 10:55:00,1.2125,1.2136,1.2068,1.2134,990.2
XIONUSDT,5,2025-06-08 11:00:00,1.2134,1.2185,1.2103,1.2185,3796.2
XIONUSDT,5,2025-06-08 11:05:00,1.2185,1.2215,1.2169,1.2182,2879.8
XIONUSDT,5,2025-06-08 11:10:00,1.2182,1.2262,1.2182,1.2238,4963.8
XIONUSDT,5,2025-06-08 11:15:00,1.2238,1.2238,1.2128,1.2135,5020.8
XIONUSDT,5,2025-06-08 11:20:00,1.2135,1.2141,1.2091,1.2108,3223.6
XIONUSDT,5,2025-06-08 11:25:00,1.2108,1.2127,1.209,1.2127,1264.2
XIONUSDT,5,2025-06-08 11:30:00,1.2127,1.2177,1.212,1.2177,529.5
XIONUSDT,5,2025-06-08 11:35:00,1.2177,1.2228,1.2165,1.2211,1471.6
XIONUSDT,5,2025-06-08 11:40:00,1.2211,1.2219,1.2194,1.2219,222.2
XIONUSDT,5,2025-06-08 11:45:00,1.2219,1.2296,1.2218,1.2275,1246.4
XIONUSDT,5,2025-06-08 11:50:00,1.2275,1.2284,1.2185,1.2185,2755.7
XIONUSDT,5,2025-06-08 11:55:00,1.2185,1.2234,1.2185,1.2212,1206.2
XIONUSDT,5,2025-06-08 12:00:00,1.2212,1.2253,1.2199,1.2253,3512.0
XIONUSDT,5,2025-06-08 12:05:00,1.2253,1.2269,1.2194,1.2221,2507.0
XIONUSDT,5,2025-06-08 12:10:00,1.2221,1.2236,1.2221,1.2236,325.9
XIONUSDT,5,2025-06-08 12:15:00,1.2236,1.2236,1.2195,1.2195,316.7
XIONUSDT,5,2025-06-08 12:20:00,1.2195,1.2197,1.212,1.2147,1579.1
XIONUSDT,5,2025-06-08 12:25:00,1.2147,1.2213,1.2147,1.2213,343.8
XIONUSDT,5,2025-06-08 12:30:00,1.2213,1.2236,1.2188,1.2217,967.4
XIONUSDT,5,2025-06-08 12:35:00,1.2217,1.2217,1.2164,1.2164,880.8
XIONUSDT,5,2025-06-08 12:40:00,1.2164,1.2192,1.2157,1.2184,172.8
XIONUSDT,5,2025-06-08 12:45:00,1.2184,1.2184,1.2168,1.2183,264.7
XIONUSDT,5,2025-06-08 12:50:00,1.2183,1.2183,1.2109,1.2127,3251.6
XIONUSDT,5,2025-06-08 12:55:00,1.2127,1.2163,1.2046,1.2117,9264.8
XIONUSDT,5,2025-06-08 13:00:00,1.2117,1.2117,1.2039,1.207,4726.5
XIONUSDT,5,2025-06-08 13:05:00,1.207,1.2093,1.207,1.2093,1222.5
XIONUSDT,5,2025-06-08 13:10:00,1.2093,1.2107,1.2001,1.2053,6949.2
XIONUSDT,5,2025-06-08 13:15:00,1.2053,1.2054,1.1999,1.2004,3195.4
XIONUSDT,5,2025-06-08 13:20:00,1.2004,1.2024,1.197,1.1994,5002.7
XIONUSDT,5,2025-06-08 13:25:00,1.1994,1.2021,1.1984,1.2021,612.4
XIONUSDT,5,2025-06-08 13:30:00,1.2021,1.2043,1.2021,1.203,463.2
XIONUSDT,5,2025-06-08 13:35:00,1.203,1.2072,1.2019,1.205,3411.9
XIONUSDT,5,2025-06-08 13:40:00,1.205,1.207,1.2031,1.2031,1051.5
XIONUSDT,5,2025-06-08 13:45:00,1.2031,1.204,1.1994,1.2033,924.7
XIONUSDT,5,2025-06-08 13:50:00,1.2033,1.2033,1.1927,1.1975,3238.3
XIONUSDT,5,2025-06-08 13:55:00,1.1975,1.2018,1.1937,1.1955,1136.5
XIONUSDT,5,2025-06-08 14:00:00,1.1955,1.1987,1.1944,1.1957,549.2
XIONUSDT,5,2025-06-08 14:05:00,1.1957,1.2,1.1957,1.1976,1050.5
XIONUSDT,5,2025-06-08 14:10:00,1.1976,1.2002,1.1973,1.2002,215.0
